fiberid,radeg,decdeg,source_id,bdbs_id,n6569_oid,BDBS_match,photometry_ok,gaia_ok,phot_g_mean_mag,umag,gmag,rmag,imag,zmag,ymag,u0,g0,r0,i0,z0,y0,pmra,pmra_error,pmdec,pmdec_error,parallax,parallax_error,RVraw,RV_adopted,e_RV_adopted,SNR_CaT,rv_quality,rv_member_window_NGC6569,CaT1,CaT2,CaT3,SumEW23,FeHDP_avg_W2W3,FeHDP_stddev_W2W3,FeHDP_W2,FeHDP_W3,FeHDP_W3_minus_W2,FeHDP_flag,FeHDP_quality,Teff_avg_SP,Teff_std_SP,logg_avg_SP,logg_stddex_SP,MH_avg_SP,MH_stddex_SP,FeH_avg_SP,FeH_stddex_SP,aFe_avg_SP,aFe_stddex_SP,SP_FeH_N,SP_aFe_N,SP_quality,SED_status,SED_ok,SED_n_bands_used,SED_red_chi2,SED_auto_rejected_bands,SED_phot_mismatch_bool,SED_best_Teff,SED_best_logg,SED_best_FeH,SED_best_aFe,dTeff_SED_minus_SP,dlogg_SED_minus_SP,dFeH_SED_minus_SP,daFe_SED_minus_SP,SED_agreement,Teff_adopted,e_Teff_adopted,logg_adopted,e_logg_adopted,FeH_adopted,e_FeH_adopted,FeH_source,aFe_adopted,e_aFe_adopted,aFe_source,chem_window_adopted,high_alpha_window,table_use_flag
88,273.456,-32.1,4048783069132858240,147931072,369256,matched,TRUE,TRUE,16.133,20.111,17.41,16.258,15.705,15.353,15.124,18.525,16.144,15.329,15.017,14.824,14.703,-4.063,0.053,-6.48,0.04,0.088,0.045,6.121,-7.232,3.305,31.7,good,FALSE,1.328,2.979,2.234,5.213,-0.808,0.017,-0.82073,-0.796114,0.024616,ok,good,5046.5,142.1,2.589,0.764,-0.44,0.126,-0.55,0.151,0.166,0.459,2,2,good,modeled,TRUE,5,0.466,u,FALSE,4500,2,-1,0.4,-546.5,-0.589,-0.45,0.234,check,5046.5,142.1,2.589,0.764,-0.68,0.106,SP_Ace+CaT_DP_consensus,0.166,0.459,SP_Ace,TRUE,FALSE,secondary
90,273.438,-32.045,4048784104237600000,147880815,359584,matched,TRUE,TRUE,17.518,19.934,18.432,17.535,17.114,16.829,16.686,18.027,16.91,16.418,16.287,16.193,16.18,-4.167,0.151,-6.439,0.112,0.449,0.126,52.392,39.038,5.156,13.6,weak,FALSE,0.383,2.912,2.013,4.926,-0.767,0.224,-0.60875,-0.926224,-0.317474,CHECK W2 vs W3,usable,6256.5,352.5,3.98,0.726,0.1,0.157,-0.037,0.318,0.208,0.512,2,2,weak,modeled,TRUE,5,0.853,u,FALSE,5500,4.5,0.5,0,-756.5,0.52,0.537,-0.208,check,6256.5,352.5,3.98,0.726,-0.037,0.318,SP_Ace_primary_CaT_DP_disagrees,0.208,0.512,SP_Ace,FALSE,FALSE,caution
91,,,,,,no match,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,139.782,126.428,4.222,19.3,usable,FALSE,0.537,1.108,1.02,2.128,,,,,,no imag,none,5287,,3.55,,-1.72,,-1.71,,-0.016,,1,1,weak,failed,FALSE,,,,FALSE,,,,,,,,,no_SED,5287,100,3.55,0.2,-1.71,0.2,SP_Ace_only,-0.016,0.15,SP_Ace,FALSE,FALSE,caution
92,273.477,-32.312,4045773778953119616,147985029,379433,matched,TRUE,TRUE,16.32,19.697,17.296,16.363,15.861,15.702,15.45,18.519,16.355,15.673,15.35,15.309,15.137,-3.717,0.111,-6.89,0.08,-0.05,0.103,129.24,115.886,3.32,28.8,good,FALSE,1.164,2.448,2.077,4.526,-1.052,0.025,-1.034773,-1.069525,-0.034752,ok,good,4824.5,118.7,2.768,0.469,-0.663,0.123,-0.706,0.156,0.071,0.324,2,2,good,modeled,TRUE,5,1.031,u,FALSE,4750,2,-0.75,0.3,-74.5,-0.768,-0.044,0.229,check,4824.5,118.7,2.768,0.469,-0.886,0.108,SP_Ace+CaT_DP_consensus,0.071,0.324,SP_Ace,FALSE,FALSE,secondary
94,273.448,-32.245,4045777867762204288,147908587,364996,matched,TRUE,TRUE,16.147,19.652,17.203,16.21,15.77,15.481,15.297,18.377,16.185,15.463,15.217,15.056,14.958,-4.087,0.066,-7.353,0.048,0.128,0.067,40.402,27.048,3.235,29.8,good,FALSE,1.306,2.797,2.408,5.206,-0.801,0.012,-0.809037,-0.792385,0.016652,ok,good,5062,160.5,2.84,0.354,-0.53,0.148,-0.53,0.096,0,0.177,2,2,good,modeled,TRUE,5,0.531,u,FALSE,4750,2,-0.75,0.3,-312,-0.84,-0.22,0.3,check,5062,160.5,2.84,0.354,-0.636,0.094,SP_Ace+CaT_DP_consensus,0,0.177,SP_Ace,FALSE,FALSE,secondary
95,273.379,-32.142,4048781114984082560,147719368,327526,matched,TRUE,TRUE,13.938,20.123,17.58,15.572,13.266,11.987,11.377,18.644,16.399,14.706,12.625,11.494,10.984,-3.576,0.065,-6.369,0.051,0.124,0.056,50.189,36.836,5.7,38.1,good,FALSE,0.766,1.155,1.427,2.582,-2.41,0.126,-2.320561,-2.499389,-0.178828,ok,usable,,,,,,,,,,,0,0,none,failed,FALSE,,,,FALSE,,,,,,,,,no_SED,,,,,-2.41,0.15,CaT_DP_only,,,none,FALSE,FALSE,RV_CaT_only
96,273.39,-32.018,4048787226661555968,147749821,333472,matched,TRUE,TRUE,17.163,20.116,18.179,17.23,16.785,16.507,16.312,18.199,16.649,16.107,15.954,15.868,15.803,-3.299,0.086,-6.778,0.065,0.502,0.073,86.552,73.198,3.858,22.7,good,FALSE,0.742,2.156,1.423,3.578,-1.264,0.133,-1.169843,-1.357359,-0.187516,ok,usable,5930.5,336.7,4.212,0.835,-0.565,0.153,-0.6,0.283,0.048,0.436,2,2,usable,modeled,TRUE,5,0.599,u,FALSE,5250,3.5,0,0,-680.5,-0.712,0.6,-0.048,check,5930.5,336.7,4.212,0.835,-0.6,0.283,SP_Ace_primary_CaT_DP_disagrees,0.048,0.436,SP_Ace,FALSE,FALSE,secondary
97,273.381,-32.225,4048780221630708736,147723988,328389,matched,TRUE,TRUE,15.907,19.776,17.137,15.992,15.47,15.155,14.913,18.41,16.046,15.192,14.878,14.699,14.55,-4.589,0.058,-8.681,0.043,0.052,0.05,-162.008,-175.362,3.99,33.2,good,FALSE,1.218,2.538,2.223,4.761,-1.045,0.011,-1.037097,-1.052301,-0.015204,ok,good,4566.5,103,2.551,0.393,-0.83,0.114,-1.11,0.093,0.386,0.204,2,2,good,modeled,TRUE,6,0.615,,FALSE,4250,2.5,-1.5,0.4,-316.5,-0.051,-0.39,0.014,check,4566.5,103,2.551,0.393,-1.084,0.094,SP_Ace+CaT_DP_consensus,0.386,0.204,SP_Ace,TRUE,TRUE,secondary
98,273.415,-32.081,4048783520165843328,147819456,347595,matched,TRUE,TRUE,15.687,19.48,16.926,15.81,15.279,14.91,14.678,17.943,15.699,14.91,14.613,14.397,14.27,-4.521,0.045,-7.596,0.033,0.173,0.036,221.732,208.378,3.43,43.3,good,FALSE,1.083,2.596,2.024,4.62,-1.163,0.045,-1.131008,-1.195082,-0.064074,ok,good,4985,91.4,2.616,0.371,-0.715,0.091,-0.714,0.125,0,0.287,2,2,good,modeled,TRUE,5,0.726,u,FALSE,4500,2,-1,0.4,-485,-0.616,-0.286,0.4,check,4985,100,2.616,0.371,-0.714,0.125,SP_Ace_primary_CaT_DP_disagrees,0,0.287,SP_Ace,FALSE,FALSE,secondary
99,,,,,,no match,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,168.966,155.612,4.608,12.3,weak,FALSE,4.5,3.49,2.113,5.603,,,,,,no imag,none,,,,,,,,,,,0,0,none,failed,FALSE,,,,FALSE,,,,,,,,,no_SED,,,,,,,none,,,none,FALSE,FALSE,caution
101,273.407,-32.016,4048787329772566272,147795467,342673,matched,TRUE,TRUE,16.935,20.435,18.16,17.036,16.481,16.17,15.951,18.476,16.596,15.888,15.632,15.516,15.431,-3.301,0.077,-6.874,0.057,0.16,0.07,9.044,-4.31,3.308,19.3,usable,FALSE,0.749,2.875,2.055,4.93,-0.842,0.131,-0.749011,-0.933993,-0.184982,ok,usable,5605.5,81.3,4.212,1.041,-0.545,0.021,-0.595,0.436,0.102,0.351,2,2,usable,modeled,TRUE,5,1.863,u,FALSE,5000,3,0,0,-605.5,-1.212,0.595,-0.102,check,5605.5,100,4.212,1.041,-0.815,0.142,SP_Ace+CaT_DP_consensus,0.102,0.351,SP_Ace,TRUE,FALSE,secondary
103,,,,,,no match,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,50.517,37.163,5.844,11.7,weak,FALSE,0.385,1.002,2.082,3.083,,,,,,no imag,none,,,,,,,,,,,0,0,none,failed,FALSE,,,,FALSE,,,,,,,,,no_SED,,,,,,,none,,,none,FALSE,FALSE,caution
104,273.372,-32.324,4045770617856127744,147699305,323649,matched,TRUE,TRUE,16.483,19.958,17.557,16.554,16.098,15.852,15.613,18.495,16.389,15.697,15.464,15.364,15.224,-3.926,0.08,-5.901,0.057,0.083,0.072,46.38,33.026,3.265,28.6,good,FALSE,1.287,2.568,1.999,4.567,-0.961,0.007,-0.966377,-0.956603,0.009774,ok,good,5162.5,167.2,3.735,0.395,-0.469,0.151,-0.526,0.178,0.088,0.357,2,2,good,modeled,TRUE,5,0.579,u,FALSE,4750,3,-0.25,0.1,-412.5,-0.735,0.276,0.012,check,5162.5,167.2,3.735,0.395,-0.526,0.178,SP_Ace_primary_CaT_DP_disagrees,0.088,0.357,SP_Ace,FALSE,FALSE,secondary
105,,,,,,no match,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,83.17,69.816,3.23,11.7,weak,FALSE,0.602,2.28,1.529,3.809,,,,,,no imag,none,6317,0,3.52,0,-0.6,0,-0.6,0,0,,2,1,weak,failed,FALSE,,,,FALSE,,,,,,,,,no_SED,6317,100,3.52,0.2,-0.6,0.12,SP_Ace_only,0,0.15,SP_Ace,FALSE,FALSE,caution
106,273.346,-32.324,4045771334983937536,147629826,309993,matched,TRUE,TRUE,14.315,19.896,16.298,14.824,13.673,13.106,15.903,18.426,15.124,13.963,13.036,12.616,15.513,-3.807,0.034,-8.354,0.024,0.053,0.029,-43.824,-57.178,3.343,49,good,TRUE,1.539,3.069,2.677,5.746,-1.033,0.071,-1.083846,-0.982848,0.100998,ok,good,3869.5,64.3,1.539,0.449,-0.555,0.127,-0.757,0.106,0.331,0.29,2,2,good,modeled,TRUE,5,0.813,y,FALSE,3700,2.5,-0.75,0.3,-169.5,0.961,0.007,-0.031,check,3869.5,100,1.539,0.449,-0.865,0.094,SP_Ace+CaT_DP_consensus,0.331,0.29,SP_Ace,TRUE,TRUE,secondary
107,273.37,-32.269,4045777592884406272,147693796,322568,matched,TRUE,TRUE,16.083,19.961,17.246,16.203,15.725,15.417,15.209,18.231,15.865,15.189,14.975,14.84,14.749,-4.55,0.061,-6.025,0.043,0.263,0.054,26.54,13.186,3.271,31,good,FALSE,1.294,2.744,2.02,4.765,-0.973,0.009,-0.978779,-0.966471,0.012308,ok,good,4779.5,92.4,3.253,0.239,-0.375,0.086,-0.35,0.064,-0.038,0.214,2,2,good,modeled,TRUE,6,0.241,,FALSE,4750,3,-0.5,0.2,-29.5,-0.253,-0.15,0.238,consistent,4779.5,100,3.253,0.239,-0.35,0.12,SP_Ace_primary_CaT_DP_disagrees,-0.038,0.214,SP_Ace,FALSE,FALSE,primary
108,273.345,-32.269,4045777627244193792,147626982,309420,matched,TRUE,TRUE,16.544,20.148,17.687,16.622,16.109,15.847,15.636,18.495,16.367,15.654,15.392,15.295,15.197,-4.404,0.079,-7.918,0.057,-0.053,0.065,-66.306,-79.66,3.643,25.7,good,FALSE,1.166,2.498,1.943,4.441,-1.027,0.024,-1.00952,-1.043548,-0.034028,ok,good,5040,146.4,2.355,0.398,-0.58,0.134,-0.759,0.251,0.286,0.448,2,2,usable,modeled,TRUE,5,0.181,u,FALSE,4750,2,-0.75,0.3,-290,-0.355,0.009,0.014,consistent,5040,146.4,2.355,0.398,-0.956,0.129,SP_Ace+CaT_DP_consensus,0.286,0.448,SP_Ace,TRUE,TRUE,secondary
109,273.34,-32.122,4048782111416619008,147612854,306660,matched,TRUE,TRUE,16.083,19.845,17.294,16.2,15.647,15.332,15.106,18.248,16.019,15.264,14.954,14.799,14.682,-4.719,0.065,-6.621,0.049,0.06,0.056,64.958,51.604,3.264,31.8,good,FALSE,1.333,2.72,2.283,5.003,-0.897,0.019,-0.909768,-0.883342,0.026426,ok,good,4933,138.2,2.616,0.519,-0.535,0.103,-0.913,0.129,0.512,0.278,2,2,good,modeled,TRUE,6,0.164,,FALSE,4500,3,-1,0.4,-433,0.384,-0.087,-0.112,check,4933,138.2,2.616,0.519,-0.906,0.098,SP_Ace+CaT_DP_consensus,0.512,0.278,SP_Ace,TRUE,TRUE,secondary
110,273.312,-32.152,4048781591663872512,147535193,291598,matched,TRUE,TRUE,17.139,21.003,18.439,17.306,16.731,16.335,16.12,19.427,17.181,16.383,16.048,15.809,15.701,-4.576,0.1,-7.945,0.076,0.2,0.08,93.714,80.361,3.662,20.6,good,FALSE,1.182,2.504,1.642,4.146,-0.991,0.02,-0.976709,-1.004945,-0.028236,ok,good,4538,182.2,3.132,0.596,-1.114,0.223,-1.163,0.188,0.078,0.384,2,2,good,modeled,TRUE,6,0.87,,FALSE,4250,3,-1.5,0.4,-288,-0.132,-0.337,0.322,consistent,4538,182.2,3.132,0.596,-1.058,0.117,SP_Ace+CaT_DP_consensus,0.078,0.384,SP_Ace,FALSE,FALSE,primary
111,273.358,-32.002,4048787535930734464,147660915,316101,matched,TRUE,TRUE,16.223,20.186,17.486,16.305,15.779,15.394,15.182,18.41,16.068,15.265,15.009,14.802,14.71,-3.387,0.056,-6.968,0.043,0.151,0.049,-152.154,-165.507,3.45,33.7,good,FALSE,1.255,2.66,2.171,4.831,-0.943,0.001,-0.942406,-0.944216,-0.00181,ok,good,5062,136.5,3.213,0.304,-0.448,0.107,-0.504,0.119,0.085,0.252,2,2,good,modeled,TRUE,5,0.309,u,FALSE,4500,2.5,-0.5,0.2,-562,-0.713,0.004,0.115,check,5062,136.5,3.213,0.304,-0.504,0.12,SP_Ace_primary_CaT_DP_disagrees,0.085,0.252,SP_Ace,FALSE,FALSE,secondary
112,273.352,-32.195,4048780496508726784,147645671,313141,matched,TRUE,TRUE,13.569,19.378,15.486,13.969,12.98,12.513,12.241,18.07,14.442,13.203,12.413,12.077,11.893,-4.125,0.024,-6.818,0.018,0.104,0.021,245.282,231.928,4.019,59.8,good,FALSE,1.591,3.279,2.823,6.102,-1.051,0.085,-1.110511,-0.990689,0.119822,ok,good,3827,50.5,2.045,0.579,-0.514,0.143,-0.598,0.238,0.186,0.31,2,2,good,modeled,TRUE,5,0.186,u,FALSE,3800,2.5,-0.75,0.3,-27,0.455,-0.152,0.114,consistent,3827,100,2.045,0.579,-0.598,0.238,SP_Ace_primary_CaT_DP_disagrees,0.186,0.31,SP_Ace,TRUE,FALSE,primary
113,273.349,-32.148,4048781729104699520,147636745,311388,matched,TRUE,TRUE,17.166,20.715,18.296,17.24,16.684,16.368,16.195,19.24,17.119,16.376,16.045,15.876,15.803,-4.667,0.109,-6.695,0.085,0.3,0.098,-5.532,-18.886,3.983,22.2,good,FALSE,1.212,2.474,1.886,4.36,-0.918,0.012,-0.909789,-0.927165,-0.017376,ok,good,5408,380.1,3.67,0.827,-0.67,0.216,-0.67,0.219,0,0.937,2,2,weak,modeled,TRUE,5,1.713,g,FALSE,4750,3,-0.5,0.2,-658,-0.67,0.17,0.2,check,5408,380.1,3.67,0.827,-0.839,0.124,SP_Ace+CaT_DP_consensus,0,0.937,SP_Ace,FALSE,FALSE,RV_CaT_only
115,273.264,-32.05,4048786298948505216,147403224,265520,matched,TRUE,TRUE,14.184,20.133,16.395,14.818,13.487,14.075,15.672,18.515,15.103,13.87,12.785,13.535,15.242,-4.052,0.027,-6.992,0.02,0.092,0.025,151.4,138.046,3.799,41.8,good,FALSE,1.622,3.141,2.146,5.287,-1.226,0.093,-1.29175,-1.160706,0.131044,ok,good,3829,187.8,2.143,0.425,-0.141,0.264,-0.164,0.29,0.076,0.322,2,2,usable,modeled,TRUE,5,1.11,y,FALSE,3700,2.5,-0.25,0.1,-129,0.357,-0.086,0.024,consistent,3829,187.8,2.143,0.425,-0.164,0.29,SP_Ace_primary_CaT_DP_disagrees,0.076,0.322,SP_Ace,FALSE,FALSE,secondary
116,273.295,-31.962,4048788257453922304,147488604,282378,matched,TRUE,TRUE,15.669,19.999,16.974,15.77,15.158,14.818,14.594,18.372,15.675,14.817,14.453,14.275,14.162,-4.077,0.1,-6.53,0.072,0.222,0.098,86.397,73.043,4.463,43.8,good,FALSE,1.281,2.286,1.92,4.206,-1.304,0.005,-1.308033,-1.300431,0.007602,ok,good,4492,73.6,3.302,0.4,-0.49,0.117,-0.627,0.102,0.237,0.239,2,2,good,modeled,TRUE,6,0.852,,FALSE,4250,2.5,-1,0.4,-242,-0.802,-0.373,0.163,check,4492,100,3.302,0.4,-0.627,0.12,SP_Ace_primary_CaT_DP_disagrees,0.237,0.239,SP_Ace,TRUE,TRUE,secondary
117,273.329,-32.081,4048785169433442944,147581544,300623,matched,TRUE,TRUE,16.34,19.98,17.512,16.437,15.919,15.586,15.393,18.511,16.34,15.577,15.282,15.096,15.003,-4.73,0.059,-7.832,0.044,0.091,0.051,-172.146,-185.499,3.632,32,good,FALSE,1.223,2.548,2.2,4.748,-0.948,0.009,-0.94103,-0.954424,-0.013394,ok,good,5365,134.5,3.592,0.295,-0.34,0.091,-0.31,0.209,-0.051,0.303,2,2,good,modeled,FALSE,5,4.86,g,FALSE,5000,3,0,0,-365,-0.592,0.31,0.051,check,5365,134.5,3.592,0.295,-0.31,0.209,SP_Ace_primary_CaT_DP_disagrees,-0.051,0.303,SP_Ace,FALSE,FALSE,secondary
118,273.27,-32.106,4048785272512723584,147420338,268820,matched,TRUE,TRUE,14.91,19.539,16.454,16.867,14.303,13.958,13.722,17.949,15.184,15.935,13.613,13.427,13.3,-3.372,0.036,-5.875,0.026,0.161,0.03,-143.237,-156.591,3.304,53.4,good,FALSE,1.245,2.934,2.305,5.239,-1.129,0.004,-1.125983,-1.131413,-0.00543,ok,good,4364,134.5,2.665,0.235,-0.656,0.111,-0.834,0.052,0.271,0.143,2,2,good,modeled,FALSE,5,4.757,r,FALSE,4250,2.5,-0.75,0.3,-114,-0.165,0.084,0.029,check,4364,134.5,2.665,0.235,-0.949,0.094,SP_Ace+CaT_DP_consensus,0.271,0.143,SP_Ace,TRUE,TRUE,secondary
119,273.26,-32.217,4048775303831423360,147394381,263844,matched,TRUE,TRUE,15.382,20.261,16.856,15.554,14.896,14.556,14.296,18.482,15.436,14.512,14.125,13.963,13.823,-4.726,0.043,-6.116,0.032,0.12,0.035,148.843,135.489,3.6,37,good,FALSE,1.495,3.159,2.635,5.794,-0.749,0.06,-0.79198,-0.70691,0.08507,ok,good,4326.5,66,2.381,0.3,-0.469,0.113,-0.522,0.11,0.085,0.229,2,2,good,modeled,TRUE,6,0.193,,FALSE,4250,1.5,-1,0.4,-76.5,-0.881,-0.478,0.315,check,4326.5,100,2.381,0.3,-0.61,0.094,SP_Ace+CaT_DP_consensus,0.085,0.229,SP_Ace,FALSE,FALSE,secondary
120,273.276,-32.14,4048784585317860352,147435894,271827,matched,TRUE,TRUE,16.053,19.414,17.157,16.158,15.599,15.334,15.147,17.731,15.814,15.172,14.869,14.773,14.7,-3.364,0.052,-7.916,0.039,0.176,0.048,151.356,138.003,3.314,32.6,good,FALSE,1.032,2.394,1.801,4.195,-1.254,0.058,-1.213037,-1.295573,-0.082536,ok,good,5277,118.5,3.418,0.414,-0.59,0.096,-0.67,0.205,0.129,0.544,2,2,usable,modeled,TRUE,5,0.135,u,FALSE,4750,2.5,-1,0.4,-527,-0.918,-0.33,0.271,check,5277,118.5,3.418,0.414,-0.67,0.205,SP_Ace_primary_CaT_DP_disagrees,0.129,0.544,SP_Ace,TRUE,FALSE,secondary
121,,,,,,no match,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,225.471,212.117,7.19,26.7,good,FALSE,0.223,1.285,1.129,2.414,,,,,,no imag,none,,,,,,,,,,,0,0,none,failed,FALSE,,,,FALSE,,,,,,,,,no_SED,,,,,,,none,,,none,FALSE,FALSE,caution
123,,,,,,no match,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,18.711,5.357,3.49,25.3,good,FALSE,0.725,1.406,1.054,2.461,,,,,,no imag,none,,,,,,,,,,,0,0,none,failed,FALSE,,,,FALSE,,,,,,,,,no_SED,,,,,,,none,,,none,FALSE,FALSE,caution
124,273.323,-32.028,4048787127893431552,147564813,297361,matched,TRUE,TRUE,17.023,20.506,18.205,17.1,16.547,16.26,16.027,18.951,16.964,16.189,15.873,15.741,15.614,-4.405,0.081,-6.756,0.063,-0.005,0.079,26.562,13.209,3.999,22.8,good,FALSE,1.343,3.039,2.284,5.322,-0.577,0.021,-0.591932,-0.561886,0.030046,ok,good,5089,193,2.455,0.564,-0.64,0.165,-0.61,0.285,-0.046,0.46,2,2,usable,modeled,TRUE,6,0.404,,FALSE,4500,3,-1,0.4,-589,0.545,-0.39,0.446,check,5089,193,2.455,0.564,-0.584,0.133,SP_Ace+CaT_DP_consensus,-0.046,0.46,SP_Ace,FALSE,FALSE,secondary
125,,,,,,no match,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,45.476,32.123,4.115,27.6,good,FALSE,1.004,2.092,1.602,3.694,,,,,,no imag,none,5787,250.6,1.618,1.451,-1.098,0.293,-1.005,0.566,-0.179,0.642,2,2,weak,failed,FALSE,,,,FALSE,,,,,,,,,no_SED,5787,250.6,1.618,1.451,-1.005,0.566,SP_Ace_only,-0.179,0.642,SP_Ace,FALSE,FALSE,caution
126,273.201,-32.191,4048778503642720512,147232274,234759,matched,TRUE,TRUE,16.477,20.486,17.718,16.613,16.015,15.742,15.455,18.655,16.256,15.541,15.221,15.131,14.969,-3.681,0.065,-7.743,0.048,0.053,0.058,152.451,139.097,3.286,29.2,good,FALSE,1.087,2.549,2.317,4.866,-0.908,0.044,-0.876768,-0.939394,-0.062626,ok,good,4950.5,157.3,3.27,0.304,-0.36,0.138,-0.403,0.148,0.058,0.255,2,2,good,modeled,TRUE,6,1.696,,FALSE,4500,3,-0.75,0.3,-450.5,-0.27,-0.347,0.242,check,4950.5,157.3,3.27,0.304,-0.403,0.148,SP_Ace_primary_CaT_DP_disagrees,0.058,0.255,SP_Ace,FALSE,FALSE,secondary
127,273.311,-32.016,4048787883852974720,147532761,291142,matched,TRUE,TRUE,17.27,20.501,18.219,17.276,16.881,16.582,16.409,18.946,16.978,16.365,16.207,16.063,15.996,-4.44,0.191,-6.665,0.147,0.632,0.18,134.106,120.752,4.794,16.6,usable,FALSE,0.922,2.021,1.88,3.901,-1.093,0.087,-1.031733,-1.154089,-0.122356,ok,good,5312.5,333.4,3.066,0.732,-0.465,0.219,-0.485,0.349,0.028,0.71,2,2,usable,modeled,TRUE,6,0.513,,FALSE,5000,2,-1,0.4,-312.5,-1.066,-0.515,0.372,check,5312.5,333.4,3.066,0.732,-0.485,0.349,SP_Ace_primary_CaT_DP_disagrees,0.028,0.71,SP_Ace,FALSE,FALSE,secondary
128,273.238,-32.105,4048784928915410048,147334573,253060,matched,TRUE,TRUE,16.009,19.605,17.221,16.147,15.552,15.218,14.992,18.002,15.941,15.208,14.857,14.683,14.566,-3.848,0.054,-7.646,0.041,0.068,0.054,-59.224,-72.577,4.033,34.7,good,FALSE,0.777,2.149,1.91,4.059,-1.36,0.124,-1.272817,-1.447663,-0.174846,ok,usable,5097.5,130.1,2.29,0.573,-0.85,0.115,-1,0.163,0.227,0.406,2,2,good,modeled,TRUE,6,0.55,,FALSE,4500,2,-1.5,0.4,-597.5,-0.29,-0.5,0.173,check,5097.5,130.1,2.29,0.573,-1,0.163,SP_Ace_primary_CaT_DP_disagrees,0.227,0.406,SP_Ace,TRUE,TRUE,secondary
131,,,,,,no match,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,22.422,9.068,7.503,10.8,weak,FALSE,0.36,2.197,1.66,3.857,,,,,,no imag,none,6505,0,0.1,0,-1.3,0,-1.3,0,0,,2,1,weak,failed,FALSE,,,,FALSE,,,,,,,,,no_SED,6505,100,0.1,0.2,-1.3,0.12,SP_Ace_only,0,0.15,SP_Ace,FALSE,FALSE,caution
133,,,,,,no match,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,-75.262,-88.616,4.774,22.4,good,FALSE,0.642,1.539,1.194,2.733,,,,,,no imag,none,6304,0,1.46,0,-1.42,0,-1.42,0,0,,2,1,weak,failed,FALSE,,,,FALSE,,,,,,,,,no_SED,6304,100,1.46,0.2,-1.42,0.12,SP_Ace_only,0,0.15,SP_Ace,FALSE,FALSE,caution
134,273.188,-32.13,4048779740593574272,147195488,228087,matched,TRUE,TRUE,16.521,20.207,17.73,16.602,16.023,15.756,15.513,18.819,16.622,15.789,15.421,15.293,15.144,-4.241,0.118,-7.632,0.094,0.133,0.107,38.405,25.051,3.245,17.2,usable,FALSE,1.493,2.742,2.312,5.053,-0.765,0.06,-0.806916,-0.72257,0.084346,ok,good,5038.5,164.3,2.683,0.549,-0.391,0.216,-0.655,0.266,0.369,0.449,2,2,usable,modeled,TRUE,5,0.501,u,FALSE,4500,1.5,-1,0.4,-538.5,-1.183,-0.345,0.031,check,5038.5,164.3,2.683,0.549,-0.738,0.131,SP_Ace+CaT_DP_consensus,0.369,0.449,SP_Ace,TRUE,TRUE,secondary
135,273.224,-32.102,4048785684829695872,147296905,246380,matched,TRUE,TRUE,16.242,19.893,17.365,16.363,15.79,15.502,15.299,18.339,16.125,15.453,15.116,14.984,14.886,-4.631,0.055,-8.593,0.043,0.064,0.053,-284.835,-298.188,3.512,17.4,usable,FALSE,1.053,2.68,2.21,4.89,-0.956,0.053,-0.918579,-0.993513,-0.074934,ok,good,4887,221.9,2.797,0.605,-0.759,0.205,-0.923,0.19,0.245,0.629,2,2,usable,modeled,TRUE,5,0.222,u,FALSE,4500,3,-1.5,0.4,-387,0.203,-0.577,0.155,check,4887,221.9,2.797,0.605,-0.943,0.118,SP_Ace+CaT_DP_consensus,0.245,0.629,SP_Ace,TRUE,TRUE,secondary
136,273.099,-32.219,4048777541570282624,146942027,181982,matched,TRUE,TRUE,16.136,19.891,17.243,16.203,15.751,15.416,15.232,18.432,16.079,15.349,15.119,14.929,14.845,-3.912,0.058,-6.289,0.043,0.045,0.064,51.993,38.639,3.364,17.3,usable,FALSE,1.474,2.716,2.218,4.934,-0.873,0.055,-0.911404,-0.833936,0.077468,ok,good,4818,127.7,3.543,0.485,-0.54,0.129,-0.727,0.113,0.276,0.202,2,2,usable,modeled,TRUE,6,0.46,,FALSE,4500,3,-0.75,0.3,-318,-0.543,-0.023,0.024,check,4818,127.7,3.543,0.485,-0.784,0.094,SP_Ace+CaT_DP_consensus,0.276,0.202,SP_Ace,TRUE,TRUE,secondary
138,273.271,-32.002,4048788090011550848,147422880,269320,matched,TRUE,TRUE,15.776,20.185,17.125,15.884,15.289,14.94,14.72,18.458,15.746,14.872,14.54,14.364,14.261,-4.999,0.047,-6.095,0.037,0.094,0.041,32.166,18.813,3.301,18.1,usable,FALSE,1.481,3.051,2.336,5.387,-0.811,0.057,-0.851109,-0.771107,0.080002,ok,good,4403,72.4,2.53,0.318,-0.53,0.111,-0.685,0.076,0.222,0.201,2,2,usable,modeled,TRUE,5,0.289,u,FALSE,4500,1.5,-1,0.4,97,-1.03,-0.315,0.178,check,4403,100,2.53,0.318,-0.734,0.094,SP_Ace+CaT_DP_consensus,0.222,0.201,SP_Ace,TRUE,TRUE,secondary
