fiberid,radeg,decdeg,source_id,bdbs_id,n6569_oid,BDBS_match,photometry_ok,gaia_ok,phot_g_mean_mag,umag,gmag,rmag,imag,zmag,ymag,u0,g0,r0,i0,z0,y0,pmra,pmra_error,pmdec,pmdec_error,parallax,parallax_error,RVraw,RV_adopted,e_RV_adopted,SNR_CaT,rv_quality,rv_member_window_NGC6569,CaT1,CaT2,CaT3,SumEW23,FeHDP_avg_W2W3,FeHDP_stddev_W2W3,FeHDP_W2,FeHDP_W3,FeHDP_W3_minus_W2,FeHDP_flag,FeHDP_quality,Teff_avg_SP,Teff_std_SP,logg_avg_SP,logg_stddex_SP,MH_avg_SP,MH_stddex_SP,FeH_avg_SP,FeH_stddex_SP,aFe_avg_SP,aFe_stddex_SP,SP_FeH_N,SP_aFe_N,SP_quality,SED_status,SED_ok,SED_n_bands_used,SED_red_chi2,SED_auto_rejected_bands,SED_phot_mismatch_bool,SED_best_Teff,SED_best_logg,SED_best_FeH,SED_best_aFe,dTeff_SED_minus_SP,dlogg_SED_minus_SP,dFeH_SED_minus_SP,daFe_SED_minus_SP,SED_agreement,Teff_adopted,e_Teff_adopted,logg_adopted,e_logg_adopted,FeH_adopted,e_FeH_adopted,FeH_source,aFe_adopted,e_aFe_adopted,aFe_source,chem_window_adopted,high_alpha_window,table_use_flag
24,273.647,-32.022,4045876342759202176,148434876,464124,matched,TRUE,TRUE,17.241,20.406,18.294,17.308,16.816,16.533,16.366,18.257,16.578,16.049,15.884,15.816,15.795,-4.563,0.106,-7.572,0.079,0.582,0.087,7.369,-5.985,3.308,17.5,usable,FALSE,1.213,2.478,2.186,4.664,-0.779,0.012,-0.770115,-0.787129,-0.017014,ok,good,6141,0,3.85,0,-0.15,0,-0.15,0,0,0.16,2,2,usable,modeled,TRUE,5,0.498,g,FALSE,5500,3,0,0,-641,-0.85,0.15,0,check,6141,100,3.85,0.2,-0.15,0.12,SP_Ace_primary_CaT_DP_disagrees,0,0.16,SP_Ace,FALSE,FALSE,secondary
25,273.637,-31.875,4048880822591399168,148408443,459186,matched,TRUE,TRUE,16.693,20.8,17.964,16.808,16.197,15.848,15.664,18.908,16.454,15.7,15.377,15.217,15.162,-3.244,0.081,-8.334,0.057,0.131,0.066,147.191,133.838,4.243,19.5,usable,FALSE,1.286,3.568,2.458,6.026,-0.411,0.007,-0.416,-0.406588,0.009412,ok,good,5258,293.3,2.041,0.786,-0.467,0.232,-0.317,0.309,-0.283,0.573,2,2,usable,modeled,TRUE,5,0.11,u,FALSE,4500,2.5,-0.5,0.2,-758,0.459,-0.183,0.483,check,5258,293.3,2.041,0.786,-0.393,0.135,SP_Ace+CaT_DP_consensus,-0.283,0.573,SP_Ace,FALSE,FALSE,secondary
28,273.857,-31.999,4045878606085163648,148972608,550481,matched,TRUE,TRUE,13.907,19.031,15.47,14.12,13.378,12.948,12.711,17.942,14.601,13.482,12.906,12.585,12.422,-4.865,0.028,-6.264,0.02,0.146,0.025,38.646,25.293,3.233,62.8,good,FALSE,1.748,3.528,2.938,6.466,-0.801,0.125,-0.889416,-0.71276,0.176656,ok,usable,3932,69.4,1.757,0.369,-0.585,0.12,-0.71,0.157,0.215,0.256,2,2,good,modeled,TRUE,6,0.894,,FALSE,3900,2,-1,0.4,-32,0.243,-0.29,0.185,consistent,3932,100,1.757,0.369,-0.758,0.109,SP_Ace+CaT_DP_consensus,0.215,0.256,SP_Ace,TRUE,TRUE,primary
29,273.894,-32.032,4045877575292900864,149065660,560826,matched,TRUE,TRUE,15.593,19.51,16.706,15.6,15.202,14.912,14.723,18.397,15.818,14.948,14.72,14.541,14.427,-3.484,0.042,-6.124,0.033,0.095,0.041,190.816,177.462,3.223,32,good,FALSE,1.36,3.186,2.966,6.152,-0.576,0.026,-0.593705,-0.557505,0.0362,ok,good,4604.5,97.3,2.534,0.438,-0.347,0.138,-0.492,0.119,0.232,0.23,2,2,good,modeled,TRUE,6,0.75,,FALSE,4500,2.5,-0.75,0.3,-104.5,-0.034,-0.258,0.068,consistent,4604.5,100,2.534,0.438,-0.524,0.094,SP_Ace+CaT_DP_consensus,0.232,0.23,SP_Ace,TRUE,TRUE,primary
30,273.807,-31.96,4045881909037907584,148849004,535100,matched,TRUE,TRUE,16.268,19.83,17.382,16.365,15.866,15.552,15.349,18.387,16.23,15.52,15.24,15.071,14.966,-4.75,0.06,-7.204,0.046,0.139,0.061,82.483,69.13,3.442,27,good,FALSE,1.376,3.018,2.537,5.555,-0.64,0.03,-0.660791,-0.618799,0.041992,ok,good,5424.5,148.7,3.602,0.501,-0.215,0.094,-0.17,0.18,-0.072,0.241,2,2,good,modeled,FALSE,5,3.324,g,FALSE,5000,3,0,0,-424.5,-0.602,0.17,0.072,check,5424.5,148.7,3.602,0.501,-0.17,0.18,SP_Ace_primary_CaT_DP_disagrees,-0.072,0.241,SP_Ace,FALSE,FALSE,secondary
31,273.902,-32.056,4045865755542818688,149084444,562702,matched,TRUE,TRUE,15.952,19.494,16.975,16.011,15.549,15.331,15.138,18.442,16.135,15.395,15.093,14.98,14.859,-4.747,0.05,-7.369,0.038,0.121,0.048,-37.234,-50.588,4.039,32.3,good,TRUE,1.312,2.79,2.467,5.256,-0.83,0.013,-0.839815,-0.820991,0.018824,ok,good,4934,115.6,2.314,0.496,-0.367,0.126,-0.63,0.174,0.367,0.416,2,2,good,modeled,TRUE,6,0.291,,FALSE,4500,2.5,-1,0.4,-434,0.186,-0.37,0.033,check,4934,115.6,2.314,0.496,-0.745,0.114,SP_Ace+CaT_DP_consensus,0.367,0.416,SP_Ace,TRUE,TRUE,secondary
32,273.742,-31.963,4045882080784870912,148682641,509301,matched,TRUE,TRUE,15.834,20.14,17.163,15.974,15.369,14.994,14.817,18.412,15.784,14.962,14.62,14.418,14.358,-4.192,0.053,-6.799,0.038,0.063,0.045,43.515,30.161,3.428,28.7,good,FALSE,1.554,2.802,2.621,5.423,-0.767,0.075,-0.820122,-0.713694,0.106428,ok,good,4655,179.5,2.453,0.56,-0.402,0.153,-0.626,0.191,0.338,0.365,2,2,good,modeled,TRUE,5,0.177,u,FALSE,4500,1.5,-1,0.4,-155,-0.953,-0.374,0.062,check,4655,179.5,2.453,0.56,-0.713,0.118,SP_Ace+CaT_DP_consensus,0.338,0.365,SP_Ace,TRUE,TRUE,secondary
33,273.695,-31.971,4045876892515035264,148558766,487196,matched,TRUE,TRUE,16.917,20.246,18.133,17.09,16.485,16.167,16.006,18.533,16.766,16.087,15.742,15.596,15.551,-3.452,0.088,-7.532,0.065,0.239,0.074,-73.055,-86.409,4.883,22.1,good,FALSE,1.295,2.367,1.658,4.025,-1.069,0.009,-1.075723,-1.063053,0.01267,ok,good,5563,194.5,3.84,0.481,-0.53,0.251,-0.53,0.417,0,0.694,2,2,usable,modeled,FALSE,5,2.599,g,FALSE,5000,3,-0.5,0.2,-563,-0.84,0.03,0.2,check,5563,194.5,3.84,0.481,-0.53,0.417,SP_Ace_primary_CaT_DP_disagrees,0,0.694,SP_Ace,FALSE,FALSE,secondary
34,273.678,-32.017,4045875621153952512,148514605,479107,matched,TRUE,TRUE,16.973,20.593,18.268,17.099,16.488,16.106,15.904,18.679,16.74,15.978,15.658,15.467,15.395,-4.63,0.087,-6.643,0.064,0.223,0.07,-74.187,-87.54,4.094,18.3,usable,FALSE,1.232,2.585,2.122,4.708,-0.833,0.007,-0.828166,-0.838302,-0.010136,ok,good,5210.5,436.7,1.99,1.391,-0.989,0.345,-1.048,0.057,0.081,0.353,2,2,usable,modeled,TRUE,5,0.043,u,FALSE,4500,2,-1.5,0.4,-710.5,0.01,-0.452,0.319,check,5210.5,436.7,1.99,1.391,-0.964,0.094,SP_Ace+CaT_DP_consensus,0.081,0.353,SP_Ace,FALSE,FALSE,secondary
36,273.747,-32.015,4045875719867091328,148695233,511365,matched,TRUE,TRUE,16.072,20.386,17.483,16.189,15.568,15.169,14.967,18.672,16.115,15.185,14.825,14.597,14.512,-4.904,0.054,-7.498,0.039,0.135,0.047,118.431,105.077,5.651,35.6,good,FALSE,1.75,3.337,2.244,5.58,-0.63,0.125,-0.718262,-0.540882,0.17738,ok,usable,4615,95.3,2.946,0.36,-0.62,0.095,-0.795,0.089,0.244,0.234,2,2,good,modeled,TRUE,6,0.438,,FALSE,4250,3,-1,0.4,-365,0.054,-0.205,0.156,check,4615,100,2.946,0.36,-0.73,0.094,SP_Ace+CaT_DP_consensus,0.244,0.234,SP_Ace,TRUE,TRUE,secondary
37,273.656,-31.933,4048879585640012160,148458537,468455,matched,TRUE,TRUE,16.129,20.362,17.437,16.2,15.677,15.338,15.149,18.648,16.069,15.196,14.934,14.766,14.694,-4.824,0.056,-8.837,0.041,0.174,0.05,75.435,62.081,3.246,24.5,good,FALSE,1.498,2.924,2.38,5.304,-0.751,0.061,-0.794072,-0.707916,0.086156,ok,good,4867,105.6,3.075,0.377,-0.254,0.116,-0.32,0.097,0.093,0.24,2,2,good,modeled,TRUE,5,0.128,u,FALSE,4500,3,-0.25,0.1,-367,-0.075,0.07,0.007,check,4867,105.6,3.075,0.377,-0.32,0.12,SP_Ace_primary_CaT_DP_disagrees,0.093,0.24,SP_Ace,FALSE,FALSE,secondary
38,273.585,-31.934,4048879482600164480,148272212,433905,matched,TRUE,TRUE,16.505,19.776,17.659,16.606,16.018,15.74,15.573,17.892,16.155,15.503,15.201,15.112,15.073,-4.814,0.063,-6.585,0.045,0.044,0.052,33.806,20.452,3.982,26.6,good,FALSE,0.823,2.123,1.749,3.873,-1.315,0.112,-1.235922,-1.394116,-0.158194,ok,good,,,,,,,,,,,0,0,none,failed,FALSE,,,,FALSE,,,,,,,,,no_SED,,,,,-1.315,0.15,CaT_DP_only,,,none,FALSE,FALSE,RV_CaT_only
