fiberid,radeg,decdeg,source_id,bdbs_id,n6569_oid,photometry_ok,gaia_ok,phot_g_mean_mag,i0,g0,r0,pmra,pmra_error,pmdec,pmdec_error,parallax,parallax_error,RV_adopted,e_RV_adopted,SNR_CaT,rv_quality,rv_member_window_NGC6569,CaT1,CaT2,CaT3,SumEW23,Teff_adopted,e_Teff_adopted,logg_adopted,e_logg_adopted,FeH_adopted,e_FeH_adopted,FeH_source,FeHDP_avg_W2W3,FeHDP_stddev_W2W3,FeH_avg_SP,FeH_stddex_SP,aFe_adopted,e_aFe_adopted,aFe_source,SED_status,SED_ok,SED_n_bands_used,SED_red_chi2,SED_agreement,chem_window_adopted,high_alpha_window,table_use_flag
32,273.742,-31.963,4045882080784870912,148682641,509301,True,True,15.834,14.6200,15.7840,14.9620,-4.192,0.053,-6.799,0.038,0.063,0.045,30.161,3.428,28.700,good,False,1.554,2.802,2.621,5.423,4655.0,179.5,2.453,0.56,-0.713,0.118,SP_Ace+CaT_DP_consensus,-0.767,0.075,-0.626,0.191,0.338,0.365,SP_Ace,modeled,True,5.0,0.177,check,True,True,secondary
33,273.695,-31.971,4045876892515035264,148558766,487196,True,True,16.917,15.7420,16.7660,16.0870,-3.452,0.088,-7.532,0.065,0.239,0.074,-86.409,4.883,22.100,good,False,1.295,2.367,1.658,4.025,5563.0,194.5,3.84,0.481,-0.53,0.417,SP_Ace_primary_CaT_DP_disagrees,-1.069,0.009,-0.53,0.417,0.0,0.694,SP_Ace,modeled,False,5.0,2.599,check,False,False,secondary
34,273.678,-32.017,4045875621153952512,148514605,479107,True,True,16.973,15.6580,16.7400,15.9780,-4.630,0.087,-6.643,0.064,0.223,0.070,-87.540,4.094,18.300,usable,False,1.232,2.585,2.122,4.708,5210.5,436.7,1.99,1.391,-0.964,0.094,SP_Ace+CaT_DP_consensus,-0.833,0.007,-1.048,0.057,0.081,0.353,SP_Ace,modeled,True,5.0,0.043,check,False,False,secondary
36,273.747,-32.015,4045875719867091328,148695233,511365,True,True,16.072,14.8250,16.1150,15.1850,-4.904,0.054,-7.498,0.039,0.135,0.047,105.077,5.651,35.600,good,False,1.750,3.337,2.244,5.580,4615.0,100.0,2.946,0.36,-0.73,0.094,SP_Ace+CaT_DP_consensus,-0.63,0.125,-0.795,0.089,0.244,0.234,SP_Ace,modeled,True,6.0,0.438,check,True,True,secondary
37,273.656,-31.933,4048879585640012160,148458537,468455,True,True,16.129,14.9340,16.0690,15.1960,-4.824,0.056,-8.837,0.041,0.174,0.050,62.081,3.246,24.500,good,False,1.498,2.924,2.380,5.304,4867.0,105.6,3.075,0.377,-0.32,0.12,SP_Ace_primary_CaT_DP_disagrees,-0.751,0.061,-0.32,0.097,0.093,0.24,SP_Ace,modeled,True,5.0,0.128,check,False,False,secondary
38,273.585,-31.934,4048879482600164480,148272212,433905,True,True,16.505,15.2010,16.1550,15.5030,-4.814,0.063,-6.585,0.045,0.044,0.052,20.452,3.982,26.600,good,False,0.823,2.123,1.749,3.873,,,,,-1.315,0.15,CaT_DP_only,-1.315,0.112,,,,,none,failed,False,,,no_SED,False,False,RV_CaT_only
42,273.832,-32.145,4045859158472791168,148910993,543038,True,True,15.358,14.4360,15.7620,14.8660,-3.895,0.038,-7.002,0.029,0.062,0.033,61.762,3.269,40.500,good,False,1.406,3.161,2.571,5.732,4369.0,100.0,2.657,0.71,-0.869,0.102,SP_Ace+CaT_DP_consensus,-0.788,0.037,-0.939,0.139,0.432,0.248,SP_Ace,modeled,True,6.0,0.585,consistent,True,True,primary
43,273.779,-32.085,4045872391336764160,148776408,524556,True,True,15.941,14.8620,16.0970,15.1970,-3.236,0.053,-8.828,0.039,0.198,0.047,75.504,3.314,32.300,good,False,1.481,2.919,2.441,5.360,4591.0,145.6,2.803,0.349,-0.674,0.105,SP_Ace+CaT_DP_consensus,-0.776,0.057,-0.577,0.147,0.249,0.212,SP_Ace,modeled,True,6.0,0.838,check,True,True,secondary
44,273.620,-31.925,4048879826197556864,148362154,450664,True,True,17.180,15.9850,17.0130,16.2650,-3.852,0.094,-6.513,0.071,0.065,0.075,-24.667,3.872,18.400,usable,False,1.240,2.663,2.194,4.857,5343.5,302.4,3.625,0.754,-0.304,0.17,SP_Ace_primary_CaT_DP_disagrees,-0.721,0.005,-0.304,0.17,0.082,0.248,SP_Ace,modeled,True,5.0,1.044,check,False,False,secondary
45,273.600,-31.925,4048879521320152448,148312254,441470,True,True,17.058,15.8600,16.7940,16.1000,-3.799,0.088,-6.359,0.063,0.163,0.078,108.724,5.009,18.000,usable,False,0.845,2.417,1.767,4.184,5598.0,211.4,3.63,0.955,-0.43,0.12,SP_Ace_primary_CaT_DP_disagrees,-1.059,0.106,-0.43,0.0,0.0,0.1,SP_Ace,modeled,True,5.0,1.126,check,False,False,secondary
