time_from_present_myr,ra_deg,dec_deg,distance_kpc,galactocentric_radius_kpc,pm_ra_cosdec_masyr,pm_dec_masyr,radial_velocity_kms
-243.72765692210953,252.36317000195098,-32.82184517620207,10.167975274615292,2.8627784906457077,-5.726892530679572,-3.4050133665102233,-36.7375341432542
-243.4358851848109,252.10569805613173,-32.76774928229407,10.147906636658524,2.8689811122851028,-5.664607405531988,-3.4053790570212343,-38.91589463371453
-243.14411344751215,251.85568281749028,-32.713607987435616,10.127081168475346,2.8744163722293923,-5.602497005884828,-3.406880608413534,-41.0977992091725
-242.8523417102134,251.61310172429086,-32.65946464739982,10.10550116578779,2.879070982349261,-5.540511534423353,-3.409502483802633,-43.28343926488933
-242.56056997291478,251.37793951463448,-32.6053730504645,10.083170183926722,2.8829335816294948,-5.478599379136104,-3.413230442839937,-45.47283818971987
-242.26879823561603,251.15018423025157,-32.5513766918094,10.060091102046396,2.885993020245008,-5.4167089888325055,-3.4180492684435344,-47.66609628514126
-241.9770264983173,250.92982641538745,-32.49751967828718,10.036266843702078,2.888239220730886,-5.354788324707263,-3.423947207569936,-49.8633728080076
-241.68525476101865,250.71686716338039,-32.44384589987275,10.011700414336214,2.8896623474470835,-5.292781823066231,-3.4309133708955146,-52.064668606735886
-241.3934830237199,250.51130968058604,-32.39039870465983,9.986395139347096,2.890253724035727,-5.230634057877351,-3.4389382154210235,-54.26994889414224
-241.10171128642116,250.3131685212916,-32.33721829093808,9.960353654573614,2.8900040855026607,-5.168287075720043,-3.448014082376106,-56.479282181798915
-240.80993954912253,250.12246150172905,-32.28434352642476,9.93357804498825,2.8889044927173484,-5.105680929778585,-3.458134550550502,-58.692625917057654
-240.5181678118238,249.93921079585434,-32.231818215467165,9.906073198512502,2.8869487106709557,-5.042756392583274,-3.46929412325566,-60.90977667450431
-240.22639607452516,249.7634491563404,-32.17967812205048,9.877840645208824,2.884127872189925,-4.979450400409453,-3.4814863302924586,-63.13074235139856
-239.9346243372264,249.59521211125616,-32.12796190787249,9.848884013040236,2.8804353610385856,-4.915699606631154,-3.4947086745755467,-65.3553201840097
-239.64285259992766,249.4345432993523,-32.07670680014765,9.819206491510165,2.8758643460397524,-4.851438152613717,-3.508958994279773,-67.58331270873367
-239.35108086262903,249.28149326140448,-32.025949350892496,9.78881135979692,2.8704082732810434,-4.786597888858604,-3.524235671532626,-69.81447022603324
