cluster_id,orbit_status,cluster_in_bdbs_now,orbit_intersects_bdbs_sky,orbit_intersects_bdbs_inner_bulge,orbit_points_in_bdbs_sky,orbit_points_in_bdbs_inner_bulge,model_pericenter_kpc,model_apocenter_kpc,time_of_model_pericenter_Myr,time_of_model_apocenter_Myr,minimum_abs_b_deg,orbit_csv,bdbs_orbit_time_min_Myr,bdbs_orbit_time_max_Myr
NGC 6256,complete,False,True,True,2999,2999,1.51175789,2.28103977,-585.9,-526.5,0.000107366907,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/NGC_6256_orbit_1Gyr.csv,-1000,-15.5
NGC 6266,complete,False,True,True,2724,2724,0.354675544,2.7304035,-939,-397.1,0.000877914976,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/NGC_6266_orbit_1Gyr.csv,-1000,-7.6
NGC 6273,complete,False,True,True,1120,911,0.610422739,5.35789808,-474.4,-238.4,0.00325412908,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/NGC_6273_orbit_1Gyr.csv,-1000,-62.3
NGC 6284,complete,False,True,True,1076,810,0.168596446,7.50659159,-466.4,-850.4,0.00622168829,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/NGC_6284_orbit_1Gyr.csv,-899.6,-18.8
NGC 6287,complete,False,True,True,1724,1158,0.83630785,5.77010941,-141.5,-36.7,0.000231446943,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/NGC_6287_orbit_1Gyr.csv,-979.5,-10.6
NGC 6293,complete,False,True,True,1820,1820,0.22279958,3.48281074,-993.6,-927,0.00260730254,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/NGC_6293_orbit_1Gyr.csv,-1000,-27
NGC 6304,complete,False,True,True,2486,2486,1.25266458,2.82335546,-694.5,-884.2,0.00100725466,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/NGC_6304_orbit_1Gyr.csv,-1000,-6.3
NGC 6316,complete,False,True,True,2138,1686,0.689826858,4.32947313,-699.9,-934.5,0.00200198251,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/NGC_6316_orbit_1Gyr.csv,-980.9,-9.2
NGC 6325,complete,False,True,True,3408,3408,0.169003597,2.76885689,-998.4,-515.5,0.00123966052,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/NGC_6325_orbit_1Gyr.csv,-1000,-8
NGC 6333,complete,False,True,True,605,461,0.694824299,9.98412344,-608.2,-63.8,0.000343616101,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/NGC_6333_orbit_1Gyr.csv,-1000,-9.9
NGC 6341,complete,False,True,True,328,328,0.528187312,12.8206877,-198.5,-431.8,0.000890891034,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/NGC_6341_orbit_1Gyr.csv,-977.6,-41.6
NGC 6342,complete,False,True,True,3769,3769,0.444365496,2.46942276,-235.3,-251.4,0.00297025782,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/NGC_6342_orbit_1Gyr.csv,-973.8,-13.8
NGC 6352,complete,False,True,True,1552,588,1.98410389,5.03961824,-383.6,-483.4,0.000176148781,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/NGC_6352_orbit_1Gyr.csv,-961.2,-35.2
NGC 6355,complete,False,True,True,3357,3357,0.144549177,3.0967243,-672.8,-861.6,0.00178686541,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/NGC_6355_orbit_1Gyr.csv,-978,-5.8
NGC 6356,complete,False,True,False,261,0,3.83429373,10.3907364,-920,-407.3,0.014840295,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/NGC_6356_orbit_1Gyr.csv,-792.5,-177.4
NGC 6362,complete,False,True,True,635,334,1.8688393,7.34930545,-589,-539,0.00936075003,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/NGC_6362_orbit_1Gyr.csv,-932.6,-32.2
NGC 6366,complete,False,True,True,953,426,1.84548613,6.23406783,-102.9,-141.1,0.000126344357,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/NGC_6366_orbit_1Gyr.csv,-1000,-29.4
NGC 6380,complete,True,True,True,2280,2218,0.133194283,3.74818771,-899.2,-423.5,0.000301208895,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/NGC_6380_orbit_1Gyr.csv,-998.8,0
NGC 6388,complete,False,True,True,1368,886,0.470297171,4.75035427,-711.5,-897.1,0.00158747408,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/NGC_6388_orbit_1Gyr.csv,-984.5,-89
NGC 6397,complete,False,True,True,977,416,2.31090246,7.66461197,-229.9,-386.6,0.00258434163,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/NGC_6397_orbit_1Gyr.csv,-906.3,-42.9
NGC 6401,complete,False,True,True,2855,2855,0.230754854,3.09155704,-764.9,-107.9,0.000627831495,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/NGC_6401_orbit_1Gyr.csv,-994.5,-5
NGC 6402,complete,False,True,True,1851,1683,0.784761434,4.03100858,-494.8,-901.3,0.000584911763,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/NGC_6402_orbit_1Gyr.csv,-988.8,-22.4
NGC 6426,complete,False,True,False,114,0,4.15327981,18.7879377,-701.1,-832.4,0.000263851073,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/NGC_6426_orbit_1Gyr.csv,-713.5,-702.2
NGC 6440,complete,False,True,True,3240,3240,0.0828949366,1.64839221,-90.7,-164.6,0.00066923771,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/NGC_6440_orbit_1Gyr.csv,-991.3,-10.5
