t_Myr,rJ_kpc,rJ_arcmin,EJcrit_kms2,L1_x,L1_y,L1_z,L2_x,L2_y,L2_z
109.0,0.0522754836107045,17.0664648598215,-250038.95525899946,2.112256570848112,-1.8170364746635415,1.3147439071551374,2.1915163679617264,-1.8852185053493515,1.364078034824882
110.0,0.05210419648038489,17.010544462942754,-250325.6129408209,2.00013269562465,-1.9103389976533116,1.2874670064102596,2.075491308167865,-1.9823144704133278,1.3359746516832363
111.0,0.05193038905632388,16.953801261536846,-250678.4439198803,1.8813872525251047,-1.9972849350450663,1.252607138860796,1.9526016649365834,-2.07288631529075,1.3000209189088272
112.0,0.051755438759299006,16.89668494447653,-251097.92750597614,1.7562997922499368,-2.0774591411790464,1.2101587314015185,1.8231274587309205,-2.1565070048907033,1.256205587666045
113.0,0.05158088711122832,16.839698775009275,-251584.29748603652,1.625168094366301,-2.15043681831757,1.1601251065178055,1.6873670148253774,-2.232738980831386,1.2045257623472048
114.0,0.05140848071448914,16.78341296934424,-252137.4222416879,1.4883116878590557,-2.2157827835658126,1.1025207490992561,1.5456405582275792,-2.301133402659976,1.1449891847228728
115.0,0.05124022855014868,16.728483402901794,-252756.64387401115,1.3460758711478569,-2.273051201698172,1.0373742505522827,1.3982943105321537,-2.3612298764203206,1.0776172008810048
116.0,0.05107848159567457,16.675677603241045,-253440.5601955508,1.1988362667802803,-2.3217859642416707,0.9647321330117578,1.2457051191912203,-2.412556861572039,1.002448616247334
117.0,0.050926041589481004,16.625910258603785,-254186.72332697458,1.0470039252515297,-2.361521959349136,0.8846638629492646,1.0882856239620802,-2.4546330123958366,0.9195447513295153
118.0,0.05078630158415907,16.580289104563427,-254991.20792677146,0.8910309543697368,-2.3917875616241298,0.7972685637309296,0.9264899176383619,-2.4869697849555004,0.8289962119994023
119.0,0.05066339444024275,16.540163403034015,-255847.95536889834,0.7314165880010958,-2.412108793725763,0.7026843488541441,0.7608195773627661,-2.509075707471782,0.7309323005316355
120.0,0.050562206941165484,16.50712855040375,-256747.68518546454,0.5687135105707454,-2.4220158410772927,0.6011021199887169,0.5918298157214604,-2.520462697396954,0.6255349139598957
121.0,0.050487618964563094,16.48277768851351,-257675.8595053483,0.4035340924343264,-2.4210532264490863,0.4927879027691738,0.4201353288457475,-2.520654419335797,0.5130610064001658
122.0,0.05044026658774785,16.46731847859085,-258608.3283217296,0.23655579935559853,-2.408797170779691,0.37812354945600724,0.24641533715186817,-2.509194737922607,0.39388356649079104
123.0,0.05039868817379426,16.45374430401314,-259500.94977996117,0.06852337313431708,-2.384891328635346,0.2576910108627832,0.07141831719520633,-2.4856471243864675,0.2685778225785385
124.0,0.050271312771198035,16.412159842574145,-260265.93290814554,-0.09976137382808214,-2.3491185313966647,0.13246305138315148,-0.10402733051019541,-2.44957061532002,0.13812738435589975
125.0,0.0499344359127653,16.302179089276013,-260750.0541532958,-0.26746725944659305,-2.3013928294407786,0.004210723720224731,-0.27899639204626364,-2.400593992040838,0.004392226279496823
126.0,0.049413656804577245,16.132159459887053,-260838.27170691793,-0.43372838869191893,-2.2416175146040582,-0.12411845904568393,-0.4525021914766409,-2.3386452541644673,-0.12949088919510265
127.0,0.04870391050219757,15.900447393497476,-260610.0498924849,-0.59766294010637,-2.1698961528140632,-0.24946896376563124,-0.6235291354055195,-2.2638068738930253,-0.26026570638562674
128.0,0.04793322552609224,15.648840576033225,-260203.84181174307,-0.7583544667164763,-2.086367909148793,-0.36987696088241717,-0.7911037737966475,-2.176467072980149,-0.38584998498322653
129.0,0.04720790339707178,15.412043443381853,-259700.8147826143,-0.9148858145134264,-1.991344042911383,-0.48416985367816706,-0.9543024363671537,-2.077138416236382,-0.5050296590578763
130.0,0.046562214364126955,15.201244261241554,-259141.4954657643,-1.0663893931810873,-1.885335867439796,-0.5915621632505806,-1.112236861026382,-1.966392445939868,-0.6169952999936411
131.0,0.046006788654371376,15.019913497697093,-258549.37752198987,-1.2120621863243368,-1.768987117063237,-0.6914699343040656,-1.2640705230397389,-1.8448925274188195,-0.7211401951022516
132.0,0.04554717292742442,14.86986198002246,-257941.1014315681,-1.3511745001014537,-1.6430359363954596,-0.7834355185460375,-1.409034985365108,-1.7133946181040964,-0.8169840789077472
133.0,0.045187818985191065,14.75254309545631,-257330.23039535587,-1.4830765349943082,-1.5082904259028216,-0.867095930060906,-1.5464408607378963,-1.5727320131087095,-0.9041425339730429
134.0,0.044932358812712764,14.669142584250096,-256728.58412477112,-1.6072017818577606,-1.365607908247932,-0.9421675286969179,-1.6756840416702885,-1.4237959445171418,-0.9823129306094079
135.0,0.044783127939293704,14.620422930575094,-256146.65406457437,-1.723067058006713,-1.215876240641589,-1.0084365990946047,-1.7962479414452852,-1.26751607498736,-1.0512662039382517
136.0,0.04474067789099252,14.606564192069202,-255593.6865572633,-1.8302696717533815,-1.0599974663477856,-1.0657519048958553,-1.9077024437107652,-1.1048425202509529,-1.1108404104251473
137.0,0.04480347049684641,14.62706419947693,-255077.66902404622,-1.9284824928601334,-0.8988742267987786,-1.114017871894433,-2.009700282290944,-0.9367301979819305,-1.1609345897161714
138.0,0.04496779693405017,14.68071212719315,-254605.31248693232,-2.0174477517681066,-0.7333990780963382,-1.1531880762335045,-2.1019715682479982,-0.764125865954516,-1.2015025157211863
139.0,0.0452279081836034,14.765631083337164,-254182.06261848335,-2.0969702903103142,-0.5644465641390379,-1.1832590817213566,-2.1843171313800225,-0.5879579245803437,-1.2325463527108325
140.0,0.045576313772587286,14.87937564064512,-253812.14472376445,-2.166910814802085,-0.39286770052510955,-1.2042647552679218,-2.256601261573863,-0.4091288587331904,-1.2541103895199943
141.0,0.0460041901298949,15.019065153050576,-253498.63716341913,-2.227179516399442,-0.2194864333490081,-1.2162711623573597,-2.318744336096376,-0.22851005966540636,-1.2662750569082013
142.0,0.04650183697034719,15.181532752172725,-253243.56437239604,-2.2777302619315902,-0.045097633206798396,-1.2193720880025534,-2.3707157118028688,-0.04693868690044688,-1.2691514073795742
143.0,0.04705912787484045,15.363472448973246,-253048.00068457786,-2.3185554393277643,0.12953376635774275,-1.2136851797437445,-2.4125271538985826,0.13478380692739253,-1.262876186935179
144.0,0.04766591577497137,15.561571513002349,-252912.1775296077,-2.3496814667598525,0.3036728061063878,-1.199348679747763,-2.4442269726120553,0.3158918662100868,-1.247607573229308
145.0,0.04831237083144345,15.772620780129083,-252835.58817117917,-2.3711649350527995,0.47661396344030893,-1.1765187021389347,-2.465894952683469,0.49565508896147314,-1.2235216059643288
146.0,0.048989243499700234,15.993600536020093,-252817.08550160416,-2.383089336778169,0.6476802293738906,-1.1453670142354029,-2.477638092617589,0.673376857244284,-1.1908092998032096
147.0,0.049688057307007545,16.22174345239717,-252854.96924173366,-2.3855623320994455,0.8162219438485726,-1.1060792917936986,-2.479587122753156,0.8483925965976818,-1.1496744108387673
148.0,0.050401243521752744,16.454578552749368,-252947.05902182142,-2.3787135035887483,0.981615499713022,-1.0588538369071028,-2.4718937419178864,1.0200678673785013,-1.1003318260511805
149.0,0.05112223405712015,16.68996154275182,-253090.7489378762,-2.3626925559558165,1.1432620017734054,-1.0039007748818125,-2.4547284983516082,1.1877964442565272,-1.0430065627487977
150.0,0.05184553059928549,16.926097378663385,-253283.03667204137,-2.337667920512888,1.30058595006439,-0.9414417902234642,-2.4282792374960236,1.3509985021428907,-0.9779334063878304
151.0,0.05256676768239524,17.16156085952102,-253520.514780618,-2.3038257286162356,1.4530340043742809,-0.8717105369100004,-2.39275004298329,1.5091189985585445,-0.90535729276415
152.0,0.053282783990331414,17.39531990514656,-253799.30022762308,-2.261369125634318,1.6000738809617008,-0.7949539957090099,-2.348360603348771,1.6616263227012216,-0.8255346833189274
153.0,0.05399170190447113,17.626761526237292,-254114.85346510552,-2.210517914253354,1.7411934393797555,-0.7114353188990945,-2.2953459386978388,1.8080112645988613,-0.7387364559914968
154.0,0.05469295967315991,17.85570232678788,-254461.58248722897,-2.151508565424927,1.875900064829213,-0.6214392542737863,-2.2339563998026746,1.9477863219139937,-0.6452533917285803
155.0,0.05538702678389448,18.08229558116925,-254831.99386108844,-2.0845947924075845,2.0037206423581697,-0.525282447562175,-2.1644577410510784,2.0804852199822665,-0.5454065528730861
156.0,0.05607371763421502,18.30648069543487,-255214.81727192496,-2.0100494100350663,2.124203143894794,-0.4233337288571763,-2.08713063049543,2.205661922977392,-0.4395676981911832
