label,RA_deg,Dec_deg,l_deg,b_deg,X_kpc,Y_kpc,Z_kpc,v_x_kms,v_y_kms,v_z_kms,pm_ra_masyr,pm_dec_masyr,RV_kms,release_time_Myr
rotating-bar,276.12728272459617,-26.217173568447254,6.590616114112563,-6.1909884409052225,2.3409588483413706,1.2091997749328052,-1.148828553093913,70.82300525395755,-150.7814374166141,-68.78044510450685,-2.3283958059119025,-7.7667926252895825,20.409637462209062,-489.5
rotating-bar,266.0215127996018,-37.45919014703626,352.55245859716877,-4.168502051102425,1.340903278865431,-1.237243010459999,-0.6991056911787061,-125.47761750072296,-138.03837013486188,130.12937492657503,-6.737550651888534,-6.177955297236902,-96.42896697469975,-489.5
rotating-bar,276.5555073789922,-25.221135234276794,7.658950636337257,-6.078624751154486,2.2906786744042025,1.4006316152402734,-1.125008262723379,77.65240023522945,-144.73421518943434,-69.52075248757089,-2.266794661329077,-7.710093742464076,20.447271720137707,-489.0
rotating-bar,264.2723567030505,-38.124482056126354,351.2554380658418,-3.3450206895406476,1.0482013463601465,-1.4107600034302452,-0.5450413658162951,-139.40038593845142,-125.6597135798967,148.69983061613848,-7.319498050691373,-5.8461924098675055,-102.48205977212389,-489.0
rotating-bar,276.44580913378667,-25.647192646318363,7.232240610480127,-6.185091170610472,2.2998915973457867,1.3229122162793747,-1.1446896729669354,79.0173084032104,-146.97454570015825,-64.81738660540641,-2.379030669642711,-7.702861958633167,24.062141077402767,-488.5
rotating-bar,265.4140654001479,-38.03511655537093,351.8085220657384,-4.059872368285889,1.1779218851486883,-1.3389814282877281,-0.6700144246307785,-133.2275116882783,-131.68559690456402,134.6565601270136,-6.9158311802113825,-6.107936890932178,-99.92833965939211,-488.5
rotating-bar,276.5879590628696,-23.69318645473122,9.037899497821003,-5.405529331137872,2.1237491059137397,1.630107783576236,-0.9873604393192235,101.28883865121581,-130.96210238227667,-96.00445012203079,-1.775277328433633,-7.870504260494984,38.02980635793402,-488.0
rotating-bar,265.4436118967275,-37.41588771339464,352.3490736132105,-3.754664271677367,1.2590824291164109,-1.2604134457391865,-0.6244860155608185,-129.69795086363567,-136.36705365482226,139.9704167188946,-7.019073638700151,-6.056900839522696,-99.24652419458499,-488.0
rotating-bar,276.76317060102826,-24.127552616594024,8.72359217359986,-5.7468118324311845,2.155395703090933,1.5773976344357248,-1.0521866006350962,101.25896548479051,-132.89751657167648,-81.67851568746644,-2.035522635934268,-7.747482117593166,38.94068951123988,-487.5
rotating-bar,265.66197958191395,-37.8221085370412,352.0931284544185,-4.114849059004251,1.1766864986960432,-1.2916845561700003,-0.6785115110243767,-133.17583380149597,-134.5249286469212,134.3260329890327,-6.924307597684902,-6.179641187542403,-101.53044341283264,-487.5
rotating-bar,276.25385786480473,-25.883769414678472,6.941123144286617,-6.139496217542138,2.3133616475496166,1.2707628527084647,-1.1370080173295916,79.53115861303914,-148.7772848262839,-65.07959703155997,-2.4002256244145417,-7.727849548072019,26.33473292796736,-487.0
rotating-bar,264.5469910969621,-38.410048849535855,351.12868174213867,-3.6797368223689713,1.0904038459698644,-1.4381476286935577,-0.6025248274867487,-139.85541908319522,-120.54665612249295,141.92419105355546,-7.064104962570603,-5.835257438320513,-103.18960948022799,-487.0
rotating-bar,276.5139737055734,-24.929119836467695,7.902819325288067,-5.9116964439341775,2.238891471528452,1.4385898460416027,-1.0891292160060355,87.90536164517927,-141.2803247568395,-77.95658459534745,-2.131605704776181,-7.778694390156235,30.014293850682893,-486.5
rotating-bar,264.54071130608213,-38.20361597744821,351.30116829660443,-3.5656929924973433,1.061184250663857,-1.4052681799276394,-0.5816980421800919,-138.6924481012883,-125.85906805998708,145.19094258299117,-7.217566438185718,-5.904929304137542,-102.35565764398248,-486.5
rotating-bar,276.4186898175685,-25.519009304371238,7.335678065982213,-6.1047632320874445,2.29892696757773,1.3419107965344454,-1.1299349721149963,81.34536775415212,-144.06246112370118,-71.86073751653927,-2.2377105617491346,-7.718824402475437,26.681320558754525,-486.0
rotating-bar,263.7091589112411,-38.62870604814892,350.5918899470398,-3.2433693058792805,0.9861101532747111,-1.5093928287770364,-0.5257692156933286,-143.94707593989605,-114.0482798846666,150.23156843639282,-7.300372044131263,-5.630868721392401,-104.1886297075119,-486.0
rotating-bar,276.5201816152715,-25.25181830616254,7.616822865438929,-6.064215664797546,2.273464507855589,1.3905320856556644,-1.120334933266027,83.605207970157,-144.34073891338826,-68.7363203099556,-2.3016024914722095,-7.717101831362129,26.55013753358461,-485.5
rotating-bar,265.60728440034575,-38.660681440103815,351.35369858213545,-4.516585070041907,1.081159789050155,-1.3997497543793012,-0.7382528234791749,-133.6794430861734,-130.40696982478985,127.48260518130515,-6.8043542103851955,-6.261960048965618,-97.81028400939833,-485.5
rotating-bar,276.32083230718945,-25.63884655452382,7.187906035823321,-6.081069424124035,2.2951475889336272,1.314111813008304,-1.1247544623775023,78.01580366746278,-147.3010779089073,-72.98467779477012,-2.242805489933884,-7.785273991328978,24.09807588108295,-485.0
rotating-bar,266.20424063615224,-38.325218452583535,351.88496112001604,-4.741160200220146,1.1887473260680972,-1.3279020198601983,-0.7832309758160526,-131.14507989116993,-134.13861283686148,120.47468296010825,-6.584226312839954,-6.367992333947815,-98.26188877202841,-485.0
rotating-bar,276.5105289726919,-24.451883559205335,8.327868021256922,-5.690463938706138,2.1971836703849115,1.5109146366038781,-1.0450967638320219,91.26537080275773,-138.27735019198357,-88.05873826414053,-1.94317838053164,-7.854465387439097,31.55554131021807,-484.5
rotating-bar,266.7609905736326,-37.837406739329644,352.5311410449866,-4.865209469440695,1.2040848223833187,-1.2229228887692971,-0.8038670636098179,-124.91077593803995,-144.08910752381607,120.55702445226414,-6.6448048111694975,-6.551528460689962,-95.49640314255274,-484.5
rotating-bar,276.27579241105826,-26.20038162028636,6.66694532990193,-6.301794996995974,2.3425398396081354,1.223521802076341,-1.1698136859650512,70.1187931768004,-151.44786788735402,-59.94939312766003,-2.4782306962073197,-7.696746320115804,18.26013625046397,-484.0
rotating-bar,267.0612568208737,-37.975530407421545,352.53379507724685,-5.139434757350985,1.3003536835686889,-1.2351178483521932,-0.858226535128878,-124.40467638467292,-141.60356915988976,109.33538703880865,-6.303817125432902,-6.585809391253977,-94.80349100557352,-484.0
rotating-bar,276.4890157374082,-25.23858702835959,7.615703241202965,-6.033095559229687,2.2790937930912123,1.3910761564443042,-1.115183175421938,84.46189061812423,-143.01716690772332,-71.53541372952698,-2.2435741419183426,-7.716122537340521,27.83754575025723,-483.5
rotating-bar,266.2981301554431,-37.566448731197426,352.5746824212324,-4.411724765856438,1.3313750618004874,-1.2322807958182198,-0.7390586422300041,-127.00109123737853,-137.9607512605324,124.55555288648843,-6.610285391715327,-6.273284454048909,-98.14462764181162,-483.5
rotating-bar,276.7295970338035,-24.304454967347564,8.551380016848086,-5.800431658358339,2.1471979372823076,1.5445567161908922,-1.060676181063212,99.04282920974337,-133.59521086869006,-88.08889674290288,-1.9238179507708701,-7.821087039787638,38.560778162290205,-483.0
rotating-bar,266.28745232613244,-37.436234894251044,352.68201178384896,-4.337059983127276,1.3139765973616822,-1.2120332950170234,-0.7250071936858783,-126.31317929300802,-140.01285375498497,127.75780162788469,-6.709861119716535,-6.280796106351352,-98.05578875251496,-483.0
rotating-bar,276.48181287944965,-25.752100383521565,7.153251312314328,-6.261851499435837,2.309719712862595,1.3095497425578737,-1.1598512220447164,71.40775145304706,-149.72828156308563,-63.44125900335237,-2.3999066583061555,-7.722772858372446,16.703790442452036,-482.5
rotating-bar,265.0773628849616,-37.93127069517854,351.7570042255413,-3.779565610911968,1.1964545253852388,-1.3501877073231512,-0.6251805945658777,-135.02516734068735,-128.55471987303642,138.20153070838577,-6.9666366954602195,-5.974218274023918,-101.45304475106236,-482.5
rotating-bar,276.5209411750676,-24.43695723791112,8.345565483102467,-5.692052733527135,2.215639834422242,1.5168795759715015,-1.0473430561116828,89.80760883668519,-137.83571416181314,-87.05895212464321,-1.9484120274988919,-7.8209315815716876,29.965141376978185,-482.0
rotating-bar,267.0237323958495,-37.26509360883394,353.13144307224485,-4.7507495436399685,1.3300970469405078,-1.1388189145511038,-0.7947786927391997,-122.62980119134261,-147.7276564570967,118.07832829196956,-6.535314830123992,-6.559284566792237,-96.60245595846537,-482.0
rotating-bar,276.67128273206964,-24.00553964786535,8.794059920514481,-5.6163917993895955,2.1580102602916775,1.5907363309107179,-1.0287328857491562,95.23678733426149,-134.2141994830803,-90.60354018178751,-1.8721954687800129,-7.840779916568929,33.04529887930079,-481.5
rotating-bar,265.1877196815987,-38.44361981630665,351.3664333208302,-4.123374391387127,1.1059308373505936,-1.4013935298031588,-0.6758242548038829,-135.5699886071526,-127.20035554036353,134.53615688257776,-6.928200822782986,-6.0726492034118795,-99.99586863286686,-481.5
