fiberid,RVraw,RV,e_RV,S/N,CaT1,CaT2,CaT3,SumEW23,BDBS_match,n6569_oid,radeg,decdeg,umag,uerr,gmag,gerr,rmag,rerr,imag,ierr,zmag,zerr,ymag,yerr,Au,Ag,Ar,Ai,Az,Ay,bdbs_id,gaia_id,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_mag
183,-24.207,-37.561,5.268,15.100,1.627,2.948,2.488,5.436,matched,47034,272.966,-31.924,19.601,0.003,16.849,0.023,15.785,0.002,15.376,0.016,15.077,0.010,14.835,0.004,0.841,0.671,0.493,0.365,0.280,0.223,113561108,4048844504345757056,4048844504345757056,272.96629,0.041,-31.92447,0.037,0.143,0.044,-5.117,0.050,-6.634,0.038,15.748
184,-1.874,-15.228,3.808,21.900,1.592,3.227,2.653,5.880,matched,4937,272.851,-31.933,19.514,0.002,15.925,0.017,14.494,0.007,13.707,0.013,13.249,0.012,12.988,0.001,0.988,0.789,0.579,0.429,0.330,0.263,113223128,4048844989755989120,4048844989755989120,272.85116,0.026,-31.93325,0.022,0.047,0.028,-4.731,0.035,-7.671,0.024,14.236
185,174.871,161.518,3.341,18.500,0.818,1.923,1.883,3.806,matched,58874,272.993,-31.878,19.578,0.008,17.307,0.006,16.382,0.022,15.907,0.006,15.671,0.007,15.455,0.005,1.170,0.934,0.685,0.507,0.390,0.311,113637134,4048850517300089344,4048850517300089344,272.99306,0.051,-31.87793,0.045,0.085,0.055,-3.144,0.064,-7.670,0.047,16.294
186,-79.243,-92.597,4.623,16.700,0.966,2.707,2.135,4.842,matched,185229,273.105,-31.877,19.801,0.003,17.233,0.008,16.202,0.003,15.771,0.001,15.433,0.000,15.257,0.000,1.349,1.077,0.790,0.585,0.450,0.358,146959807,4048803822458832000,4048803822458832000,273.10509,0.064,-31.87740,0.058,0.101,0.075,-3.913,0.083,-7.944,0.060,16.127
187,110.543,97.189,3.538,16.100,1.402,2.917,2.275,5.191,matched,88910,273.055,-31.897,19.816,0.014,16.774,0.007,15.636,0.008,15.231,0.024,14.848,0.012,14.627,0.004,1.210,0.966,0.708,0.524,0.403,0.321,113817192,4048803380099982080,4048803380099982080,273.05541,0.091,-31.89674,0.083,0.157,0.101,-4.702,0.116,-5.870,0.084,15.609
188,178.554,165.201,3.666,13.800,1.143,2.722,2.456,5.178,matched,23816,272.911,-31.904,19.541,0.009,16.667,0.010,15.607,0.015,15.204,0.019,14.926,0.005,14.726,0.008,1.044,0.833,0.611,0.453,0.348,0.277,113397138,4048844714877948288,4048844714877948288,272.91055,0.037,-31.90436,0.033,-0.006,0.040,-4.595,0.045,-7.030,0.034,15.559
189,41.023,27.669,3.264,13.600,1.341,2.860,2.226,5.086,matched,9223,272.867,-31.897,19.840,0.015,17.264,0.017,16.262,0.012,15.829,0.022,15.550,0.010,15.409,0.008,1.050,0.838,0.615,0.455,0.350,0.279,113270863,4048845363499603200,4048845363499603200,272.86718,0.049,-31.89654,0.043,0.045,0.053,-4.294,0.061,-6.086,0.045,16.203
191,94.238,80.884,3.328,14.100,1.778,2.608,1.945,4.553,matched,208507,273.151,-31.903,20.457,0.010,17.763,0.004,16.667,0.001,16.150,0.004,15.829,0.035,15.590,0.015,1.591,1.270,0.932,0.690,0.531,0.423,147090223,4048802825983603072,4048802825983603072,273.15059,0.056,-31.90325,0.051,0.035,0.061,-3.777,0.072,-8.225,0.054,16.570
192,80.913,67.559,3.391,4.000,0.657,0.879,1.075,1.954,matched,18393,272.896,-31.878,19.680,0.019,17.341,0.062,15.508,0.017,13.084,0.034,11.854,0.001,11.271,0.026,0.940,0.751,0.551,0.408,0.314,0.250,113354310,4048845573871626496,4048845573871626496,272.89566,0.056,-31.87772,0.049,0.070,0.060,-3.402,0.071,-6.212,0.054,13.822
193,-309.257,-322.611,3.243,16.700,1.116,2.523,2.043,4.566,matched,230960,273.194,-31.842,20.144,0.002,17.366,0.010,16.155,0.004,15.555,0.015,15.149,0.005,14.930,0.004,1.638,1.308,0.959,0.710,0.546,0.435,147211260,4048804857568608256,4048804857568608256,273.19357,0.041,-31.84176,0.036,0.116,0.046,-4.481,0.052,-8.041,0.038,16.009
194,-9.311,-22.665,4.108,13.300,1.390,3.886,2.881,6.766,matched,208190,273.150,-31.855,19.663,0.010,15.825,0.010,14.353,0.009,13.643,0.002,13.153,0.002,12.868,0.001,1.537,1.227,0.900,0.666,0.513,0.408,147088454,4048804720129026560,4048804720129026560,273.15001,0.021,-31.85490,0.018,0.084,0.024,-3.803,0.028,-6.045,0.020,14.129
195,-5.799,-19.153,5.146,17.800,1.162,3.286,2.094,5.381,matched,28664,272.923,-31.843,19.348,0.005,16.798,0.015,15.879,0.002,15.413,0.012,15.181,0.001,15.002,0.010,0.931,0.743,0.545,0.404,0.311,0.247,113432882,4048851788610482304,4048851788610482304,272.92307,0.038,-31.84304,0.033,0.119,0.041,-4.134,0.048,-7.105,0.035,15.775
196,-97.862,-111.215,3.308,21.800,1.439,3.271,2.677,5.948,matched,208738,273.151,-31.869,19.690,0.009,16.201,0.002,14.856,0.005,14.196,0.016,13.792,0.003,13.554,0.000,1.552,1.239,0.909,0.673,0.518,0.412,147091635,4048804544097534464,4048804544097534464,273.15110,0.025,-31.86859,0.021,0.102,0.028,-3.706,0.032,-7.598,0.023,14.682
197,37.248,23.895,3.393,17.100,1.346,2.702,2.001,4.703,matched,188620,273.112,-31.794,19.831,0.003,17.417,0.015,16.343,0.012,15.803,0.007,15.512,0.000,15.275,0.006,1.755,1.401,1.028,0.761,0.585,0.466,146979491,4048805854001248384,4048805854001248384,273.11202,0.047,-31.79426,0.042,0.111,0.049,-3.856,0.060,-6.355,0.043,16.253
198,-73.740,-87.094,5.041,17.000,0.950,2.582,1.888,4.470,matched,22524,272.907,-31.826,19.678,0.003,17.237,0.004,16.223,0.001,15.844,0.001,15.561,0.008,15.337,0.008,1.084,0.866,0.635,0.470,0.362,0.288,113387465,4048851861706186368,4048851861706186368,272.90706,0.044,-31.82566,0.038,0.126,0.050,-3.267,0.053,-6.150,0.040,16.174
199,71.082,57.728,3.267,15.100,1.590,3.069,2.231,5.300,matched,8809,272.866,-31.834,19.383,0.007,16.623,0.007,18.334,0.256,14.784,0.001,14.413,0.004,14.328,0.009,0.917,0.732,0.537,0.398,0.306,0.244,113266698,4048848971107320192,4048848971107320192,272.86589,0.037,-31.83404,0.031,0.079,0.041,-3.242,0.046,-6.444,0.034,15.391
201,-15.399,-28.753,3.962,18.900,1.474,2.697,2.017,4.714,matched,93924,273.067,-31.824,19.418,0.004,17.006,0.002,16.001,0.015,15.480,0.004,15.227,0.034,15.004,0.013,1.658,1.324,0.971,0.719,0.553,0.440,113848849,4048851135904078976,4048851135904078976,273.06691,0.046,-31.82431,0.042,0.112,0.047,-3.329,0.055,-7.815,0.042,15.913
202,202.871,189.517,3.779,13.500,0.102,0.207,1.027,1.235,matched,2176,272.839,-31.803,18.017,0.016,16.857,0.024,16.527,0.086,16.404,0.017,16.236,0.057,15.890,0.010,1.114,0.889,0.652,0.483,0.371,0.296,113185851,4048849246136010368,4048849246136010368,272.83864,0.052,-31.80294,0.044,0.135,0.055,-3.599,0.063,-9.351,0.046,16.471
203,114.359,101.005,3.905,15.400,1.226,2.481,1.995,4.477,matched,177750,273.090,-31.807,19.989,0.000,17.758,0.008,16.724,0.006,16.236,0.009,15.939,0.000,15.791,0.082,1.798,1.435,1.053,0.779,0.600,0.478,146918585,4048852651979686912,4048852651979686912,273.09015,0.069,-31.80747,0.066,0.176,0.064,-4.518,0.084,-7.303,0.066,16.655
204,67.005,53.651,3.531,19.600,1.409,2.820,2.087,4.908,matched,100094,272.862,-31.787,19.574,0.021,16.651,0.014,15.500,0.008,14.971,0.014,14.646,0.005,14.403,0.011,1.236,0.987,0.724,0.536,0.412,0.328,120702177,4048855160200785280,4048855160200785280,272.86203,0.032,-31.78715,0.027,0.037,0.035,-4.306,0.037,-6.320,0.027,15.384
205,-185.274,-198.627,3.524,11.600,0.478,1.383,1.225,2.608,matched,591728,273.103,-31.758,20.333,0.029,18.137,0.025,17.166,0.000,16.662,0.005,16.414,0.001,16.174,0.001,1.733,1.384,1.015,0.751,0.578,0.460,151584058,4048853236096337280,4048853236096337280,273.10323,0.105,-31.75834,0.094,-0.184,0.102,-4.357,0.139,-6.820,0.100,17.100
206,126.895,113.541,3.943,17.100,1.408,2.986,2.584,5.570,matched,54315,272.982,-31.793,19.788,0.019,17.114,0.007,15.601,0.013,14.710,0.016,14.200,0.009,13.805,0.001,1.480,1.182,0.867,0.642,0.494,0.393,113607455,4048852170943726336,4048852170943726336,272.98238,0.043,-31.79267,0.037,0.125,0.046,-3.479,0.056,-6.479,0.043,15.247
207,139.958,126.604,3.748,14.700,1.364,2.887,2.042,4.929,matched,112331,272.921,-31.779,20.186,0.013,17.392,0.002,16.277,0.005,15.765,0.008,15.428,0.004,15.184,0.008,1.433,1.144,0.839,0.621,0.478,0.381,120920467,4048855057161960192,4048855057161960192,272.92072,0.044,-31.77908,0.036,-0.078,0.051,-3.990,0.058,-7.351,0.041,16.199
208,188.440,175.086,3.811,16.600,0.937,3.151,2.179,5.330,matched,148845,273.026,-31.779,19.752,0.000,16.795,0.001,15.612,0.004,15.044,0.000,14.751,0.000,14.494,0.011,1.670,1.333,0.978,0.724,0.557,0.444,121323363,4048852239663121152,4048852239663121152,273.02605,0.034,-31.77940,0.029,0.126,0.036,-3.845,0.045,-7.706,0.032,15.522
209,205.914,192.561,5.282,16.600,0.745,2.907,2.103,5.010,matched,125379,272.964,-31.764,20.096,0.019,17.324,0.001,16.210,0.005,15.733,0.002,15.397,0.003,15.168,0.008,1.595,1.274,0.934,0.692,0.532,0.424,121084117,4048852441441123456,4048852441441123456,272.96351,0.047,-31.76450,0.041,0.035,0.051,-4.394,0.059,-8.560,0.044,16.141
210,-64.629,-77.983,4.968,15.500,0.955,2.387,2.311,4.697,matched,87708,273.053,-31.840,19.964,0.010,17.529,0.001,16.509,0.003,16.074,0.041,15.782,0.023,15.590,0.001,1.390,1.109,0.814,0.603,0.464,0.369,113809953,4048851105791461632,4048851105791461632,273.05288,0.066,-31.84048,0.062,0.075,0.069,-3.374,0.085,-6.114,0.064,16.495
211,3.087,-10.267,3.904,13.400,1.639,3.060,2.665,5.725,matched,123131,272.957,-31.743,20.082,0.017,17.388,0.006,16.271,0.012,15.755,0.022,15.430,0.002,15.202,0.017,1.638,1.308,0.960,0.710,0.546,0.435,121058123,4048855572517471744,4048855572517471744,272.95678,0.079,-31.74257,0.068,-0.476,0.090,-4.664,0.104,-7.394,0.076,16.201
212,47.843,34.489,3.295,16.400,1.229,2.578,2.223,4.801,matched,151658,273.033,-31.733,19.845,0.009,17.366,0.001,16.381,0.007,15.897,0.004,15.635,0.028,15.436,0.004,1.434,1.145,0.840,0.622,0.478,0.381,121349361,4048854125068410752,4048854125068410752,273.03272,0.054,-31.73277,0.045,0.240,0.055,-3.821,0.073,-6.830,0.055,16.336
213,-121.834,-135.188,4.850,16.900,0.870,2.641,1.692,4.332,matched,121440,272.951,-31.711,19.762,0.015,17.253,0.007,16.230,0.019,15.731,0.023,15.329,0.004,15.131,0.015,1.527,1.219,0.894,0.662,0.509,0.406,121037526,4048855813076334720,4048855813076334720,272.95144,0.038,-31.71075,0.033,0.147,0.042,-4.544,0.049,-8.624,0.036,16.073
214,68.880,55.527,3.453,11.900,1.411,2.589,2.309,4.897,matched,130035,272.977,-31.732,20.121,0.016,17.538,0.008,16.503,0.008,16.063,0.001,15.754,0.008,15.551,0.010,1.627,1.299,0.953,0.705,0.543,0.432,121134162,4048855538157703040,4048855538157703040,272.97684,0.046,-31.73235,0.039,0.057,0.051,-4.539,0.060,-7.621,0.043,16.421
215,-31.864,-45.218,3.626,14.600,1.686,2.613,2.061,4.674,matched,101776,272.872,-31.686,20.112,0.003,17.564,0.030,19.257,0.087,15.634,0.004,15.329,0.012,15.211,0.016,1.641,1.310,0.961,0.712,0.547,0.436,120740153,4048856843828376960,4048856843828376960,272.87239,0.053,-31.68614,0.047,0.129,0.061,-3.947,0.065,-6.084,0.049,16.303
217,-0.485,-13.839,3.281,17.700,1.297,2.706,1.803,4.509,matched,120994,272.950,-31.694,19.614,0.006,17.087,0.002,16.024,0.006,15.581,0.007,15.300,0.016,15.043,0.017,1.318,1.052,0.772,0.572,0.440,0.350,121032122,4048857355021095680,4048857355021095680,272.95004,0.041,-31.69425,0.036,0.115,0.044,-4.559,0.051,-6.866,0.038,15.965
218,-15.685,-29.038,3.330,10.100,1.008,1.984,1.010,2.994,matched,103081,272.881,-31.724,99.999,9.999,17.535,0.024,16.989,0.002,16.686,0.020,16.443,0.006,16.366,0.027,1.530,1.221,0.896,0.663,0.510,0.406,120772106,4048856156633413760,4048856156633413760,272.88070,0.066,-31.72406,0.058,0.219,0.072,-4.806,0.081,-6.523,0.060,17.046
219,-10.504,-23.857,3.472,7.500,1.567,2.272,2.584,4.855,matched,610577,273.142,-31.714,20.108,0.000,16.712,0.002,15.034,0.003,13.337,0.007,12.491,0.011,12.091,0.025,1.547,1.235,0.906,0.671,0.516,0.411,151733748,4048947450535742080,4048947450535742080,273.14177,0.027,-31.71447,0.024,0.061,0.029,-3.598,0.035,-6.842,0.025,14.193
221,-43.720,-57.074,3.368,18.900,1.542,3.202,2.575,5.777,matched,101870,272.873,-31.661,19.589,0.012,16.362,0.008,15.103,0.001,14.547,0.022,14.169,0.001,13.917,0.008,1.551,1.238,0.909,0.673,0.517,0.412,120742619,4048868693597720704,4048868693597720704,272.87278,0.027,-31.66086,0.023,0.083,0.030,-4.742,0.037,-7.501,0.026,14.979
222,-33.915,-47.269,6.341,20.900,0.730,2.196,1.498,3.694,matched,341246,273.404,-31.819,99.999,9.999,17.901,0.000,17.258,0.053,16.821,0.002,16.618,0.032,16.357,0.174,1.641,1.310,0.962,0.712,0.548,0.436,147788547,4048895189267805056,4048895189267805056,273.40427,0.136,-31.81936,0.113,0.214,0.148,-3.625,0.175,-6.960,0.134,17.136
223,-0.555,-13.909,5.476,17.700,1.451,3.070,1.895,4.965,matched,610990,273.143,-31.687,20.234,0.028,17.785,0.020,16.710,0.031,16.214,0.018,15.917,0.005,15.647,0.007,1.758,1.403,1.030,0.762,0.586,0.467,151736970,4048947553614990080,4048947553614990080,273.14264,0.094,-31.68657,0.082,0.138,0.100,-4.898,0.124,-7.357,0.088,16.740
224,5.132,-8.222,3.289,22.100,1.631,3.047,2.149,5.196,matched,104825,272.890,-31.643,19.759,0.015,17.147,0.017,16.071,0.026,15.612,0.015,15.313,0.003,15.068,0.015,1.503,1.200,0.881,0.652,0.501,0.399,120808522,4048868732302498048,4048868732302498048,272.89043,0.039,-31.64340,0.034,-0.031,0.044,-3.651,0.050,-7.763,0.037,15.995
225,130.585,117.231,3.256,14.100,1.112,2.673,2.395,5.068,matched,103016,272.880,-31.622,19.769,0.012,16.949,0.022,15.949,0.008,15.477,0.002,15.205,0.004,14.967,0.008,1.539,1.228,0.901,0.667,0.513,0.409,120770658,4048870484690033024,4048870484690033024,272.88030,0.038,-31.62160,0.031,0.203,0.042,-4.899,0.050,-6.707,0.035,15.892
226,12.878,-0.476,6.879,6.900,1.157,1.963,1.945,3.908,matched,140348,273.005,-31.712,19.998,0.001,16.809,0.025,15.053,0.024,13.066,0.008,12.183,0.053,11.629,0.034,1.459,1.165,0.855,0.633,0.487,0.388,121241491,4048857049987364224,4048857049987364224,273.00488,0.048,-31.71152,0.041,0.267,0.053,-4.136,0.064,-6.535,0.046,13.951
227,117.549,104.195,4.181,18.400,1.231,2.912,1.835,4.747,matched,139671,273.003,-31.659,19.686,0.007,16.978,0.021,15.982,0.012,15.478,0.039,15.146,0.001,14.931,0.008,1.376,1.098,0.806,0.597,0.459,0.365,121235036,4048857835928027904,4048857835928027904,273.00322,0.035,-31.65904,0.029,0.094,0.038,-3.429,0.044,-6.137,0.032,15.836
228,-198.431,-211.785,5.930,13.400,0.533,1.801,1.475,3.276,matched,638567,273.199,-31.724,20.529,0.013,18.268,0.001,17.216,0.031,16.678,0.016,16.345,0.000,16.126,0.009,1.889,1.508,1.107,0.819,0.630,0.502,151954252,4048900373280536320,4048900373280536320,273.19868,0.075,-31.72439,0.066,0.209,0.084,-3.670,0.093,-7.664,0.067,17.102
229,154.083,140.729,7.053,13.900,0.874,1.670,1.629,3.299,matched,119068,272.944,-31.605,19.703,0.010,17.240,0.010,16.270,0.034,15.832,0.012,15.537,0.006,15.293,0.013,1.336,1.067,0.783,0.579,0.446,0.355,121008116,4048870755182172800,4048870755182172800,272.94381,0.041,-31.60510,0.035,0.074,0.046,-4.300,0.053,-6.442,0.038,16.189
230,50.452,37.098,4.130,13.600,1.113,2.264,1.895,4.159,matched,595076,273.110,-31.699,20.207,0.000,17.644,0.002,16.530,0.021,15.998,0.006,15.643,0.024,15.453,0.019,1.496,1.194,0.876,0.649,0.499,0.397,151610402,4048854434306163328,4048854434306163328,273.11003,0.051,-31.69865,0.043,0.094,0.054,-4.823,0.066,-6.015,0.045,16.413
232,63.563,50.209,3.261,18.500,1.510,2.868,2.204,5.072,matched,627653,273.177,-31.769,19.941,0.003,17.353,0.001,19.413,0.041,15.250,0.001,14.749,0.016,14.833,0.060,1.679,1.340,0.983,0.728,0.560,0.446,151869180,4048806335037519744,4048806335037519744,273.17694,0.045,-31.76943,0.040,0.168,0.048,-4.060,0.057,-7.297,0.043,15.948
233,121.150,107.797,3.422,19.400,1.163,2.684,1.867,4.552,matched,689224,273.299,-31.731,20.007,0.037,17.446,0.010,16.317,0.007,15.761,0.000,15.435,0.008,15.226,0.005,1.844,1.472,1.080,0.799,0.615,0.490,152343665,4048899754804749952,4048899754804749952,273.29894,0.045,-31.73121,0.039,0.059,0.050,-3.453,0.058,-7.681,0.041,16.193
234,-57.571,-70.924,8.505,12.200,0.785,1.950,1.936,3.885,matched,119279,272.945,-31.582,20.170,0.025,17.383,0.000,16.303,0.002,15.875,0.001,15.551,0.025,15.325,0.017,1.280,1.022,0.750,0.555,0.427,0.340,121010737,4048870862647097472,4048870862647097472,272.94446,0.043,-31.58237,0.037,0.060,0.047,-4.201,0.057,-6.033,0.043,16.239
235,183.858,170.505,3.401,17.400,0.660,1.879,1.247,3.126,matched,149043,273.027,-31.643,20.007,0.005,17.152,0.012,15.977,0.003,15.422,0.005,15.068,0.006,14.852,0.011,1.320,1.054,0.773,0.572,0.440,0.351,121325040,4048857973499000704,4048857973499000704,273.02649,0.035,-31.64284,0.030,0.031,0.038,-4.155,0.045,-6.768,0.032,15.877
236,109.963,96.610,3.382,16.400,1.242,2.603,2.141,4.744,matched,596556,273.113,-31.658,20.298,0.001,17.693,0.001,16.577,0.027,16.048,0.000,15.688,0.002,15.488,0.006,1.603,1.280,0.939,0.695,0.535,0.426,151621926,4048948373865738624,4048948373865738624,273.11306,0.084,-31.65796,0.071,-0.022,0.087,-5.065,0.108,-6.341,0.079,16.499
237,-21.979,-35.333,4.099,19.100,1.418,2.581,2.216,4.797,matched,160725,273.054,-31.607,20.172,0.003,17.433,0.001,16.258,0.005,15.702,0.018,15.379,0.003,15.155,0.002,1.429,1.141,0.837,0.620,0.477,0.380,121430931,4048951917301978496,4048951917301978496,273.05351,0.099,-31.60733,0.085,-0.144,0.115,-3.953,0.124,-6.662,0.086,16.167
238,103.137,89.783,5.836,11.700,0.776,1.528,1.332,2.861,matched,125773,272.965,-31.548,18.710,0.006,17.377,0.017,16.823,0.007,16.569,0.014,16.396,0.000,16.332,0.003,1.345,1.074,0.788,0.583,0.449,0.357,121088494,4048871000086102016,4048871000086102016,272.96465,0.094,-31.54832,0.078,0.211,0.103,-5.877,0.118,-7.130,0.085,16.598
240,-53.354,-66.708,15.267,8.000,0.318,2.005,0.887,2.892,matched,705774,273.331,-31.767,18.990,0.095,17.883,0.226,17.638,0.088,17.199,0.156,17.364,0.013,17.190,0.138,1.717,1.371,1.006,0.745,0.573,0.456,152469823,4048896529394194048,4048896529394194048,273.33107,0.101,-31.76747,0.087,0.049,0.107,-1.068,0.128,-4.435,0.095,17.521
241,19.102,5.748,3.511,16.300,1.620,3.094,2.656,5.751,matched,139614,273.003,-31.620,19.821,0.011,17.086,0.003,15.994,0.018,15.522,0.004,15.220,0.006,14.997,0.004,1.355,1.081,0.793,0.587,0.452,0.360,121234565,4048858802374482048,4048858802374482048,273.00309,0.144,-31.61968,0.124,0.327,0.163,-4.818,0.183,-8.326,0.138,15.909
242,149.576,136.222,4.256,17.900,1.460,3.222,2.814,6.036,matched,580904,273.080,-31.582,19.913,0.014,16.381,0.012,14.993,0.000,14.362,0.009,13.947,0.000,13.639,0.000,1.604,1.281,0.940,0.696,0.535,0.426,151496847,4048952015961804800,4048952015961804800,273.08045,0.026,-31.58189,0.022,0.102,0.029,-4.100,0.032,-7.096,0.024,14.844
243,34.308,20.954,7.023,7.500,1.187,3.148,2.189,5.336,matched,658358,273.238,-31.729,20.560,0.013,18.172,0.006,17.139,0.031,16.559,0.030,16.295,0.022,16.097,0.005,1.857,1.482,1.088,0.805,0.619,0.493,152108348,4048900137166311680,4048900137166311680,273.23810,0.070,-31.72860,0.062,0.029,0.073,-3.444,0.087,-6.918,0.065,17.019
244,32.408,19.054,10.796,11.100,2.902,2.558,2.633,5.191,no match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,-42.129,-55.483,3.619,13.900,0.986,3.043,2.523,5.566,matched,138879,273.001,-31.515,19.543,0.000,16.520,0.013,15.445,0.005,14.998,0.011,14.680,0.004,14.492,0.004,1.351,1.079,0.791,0.586,0.451,0.359,121227077,4048964969664500736,4048964969664500736,273.00113,0.032,-31.51515,0.025,0.118,0.034,-3.454,0.044,-5.896,0.031,15.384
246,107.918,94.564,3.661,17.900,1.699,2.893,2.215,5.107,matched,654647,273.231,-31.684,19.438,0.001,16.830,0.004,15.665,0.008,15.124,0.001,14.757,0.011,14.545,0.006,1.898,1.515,1.112,0.823,0.633,0.504,152079328,4048900819956721664,4048900819956721664,273.23066,0.038,-31.68353,0.034,0.068,0.039,-3.700,0.047,-7.948,0.035,15.565
247,125.992,112.638,3.466,12.000,0.830,2.771,2.239,5.010,matched,662317,273.246,-31.674,19.484,0.018,17.228,0.000,16.189,0.025,15.660,0.000,15.322,0.002,15.117,0.008,1.957,1.562,1.146,0.849,0.653,0.520,152140453,4048900927440936576,4048900927440936576,273.24629,0.045,-31.67440,0.039,0.036,0.045,-4.539,0.057,-6.488,0.041,16.085
248,75.887,62.534,3.442,13.900,1.715,3.566,2.820,6.387,matched,597446,273.115,-31.559,20.262,0.002,16.794,0.001,15.449,0.001,14.829,0.001,14.398,0.002,14.148,0.003,1.790,1.429,1.048,0.776,0.597,0.475,151628876,4048952432698924800,4048952432698924800,273.11490,0.028,-31.55903,0.024,0.106,0.031,-3.690,0.037,-7.567,0.026,15.283
249,-20.935,-34.288,3.292,12.000,1.616,3.347,2.419,5.766,matched,162210,273.057,-31.503,20.130,0.000,17.366,0.022,16.271,0.007,15.808,0.026,15.548,0.029,15.306,0.008,1.492,1.191,0.874,0.647,0.498,0.396,121444211,4048953596509928576,4048953596509928576,273.05693,0.132,-31.50320,0.112,0.120,0.148,-3.844,0.173,-5.932,0.123,16.296
253,-54.494,-67.848,3.614,15.200,1.008,2.677,2.194,4.870,matched,161581,273.055,-31.469,20.122,0.002,17.417,0.005,16.389,0.005,15.961,0.004,15.717,0.000,15.500,0.000,1.467,1.171,0.859,0.636,0.489,0.390,121438540,4048965558065241344,4048965558065241344,273.05548,0.045,-31.46933,0.037,0.062,0.049,-4.036,0.058,-7.333,0.041,16.363
254,39.969,26.616,3.680,13.200,1.648,3.506,2.586,6.092,matched,630247,273.182,-31.616,20.922,0.014,18.041,0.011,16.817,0.004,16.280,0.020,15.929,0.009,15.676,0.002,1.962,1.566,1.149,0.851,0.654,0.521,151889558,4048948962301290112,4048948962301290112,273.18204,0.061,-31.61587,0.051,-0.070,0.063,-4.720,0.079,-6.238,0.055,16.712
255,95.191,81.837,3.206,14.800,0.426,2.058,2.492,4.549,matched,602678,273.126,-31.768,20.625,0.007,18.199,0.011,17.083,0.005,16.519,0.001,16.161,0.008,15.950,0.002,1.694,1.352,0.992,0.734,0.565,0.450,151670794,4048853163000105600,4048853163000105600,273.12574,0.072,-31.76831,0.063,0.053,0.077,-4.424,0.087,-7.765,0.063,16.946
256,265.108,251.755,3.240,15.100,1.280,2.758,2.311,5.069,matched,284594,273.299,-31.834,19.844,0.000,17.161,0.001,16.085,0.007,15.615,0.011,15.304,0.000,15.115,0.002,1.522,1.215,0.892,0.660,0.508,0.404,147499830,4048895601680630528,4048895601680630528,273.29908,0.041,-31.83357,0.035,0.111,0.047,-4.152,0.050,-6.334,0.036,16.008
257,28.481,15.127,3.299,13.900,1.605,3.169,2.492,5.661,matched,593574,273.107,-31.510,20.210,0.022,17.154,0.000,15.975,0.018,15.448,0.010,15.099,0.012,14.874,0.012,1.694,1.353,0.993,0.735,0.565,0.450,151598475,4048953463427600128,4048953463427600128,273.10698,0.038,-31.50991,0.030,0.078,0.040,-4.918,0.046,-7.332,0.033,15.873
258,-45.382,-58.735,3.624,15.500,1.411,2.835,2.190,5.025,matched,648979,273.219,-31.586,19.999,0.003,17.154,0.001,16.034,0.000,15.537,0.034,15.260,0.006,15.010,0.003,1.707,1.363,1.000,0.740,0.570,0.454,152034719,4048950504133308544,4048950504133308544,273.21933,0.041,-31.58626,0.035,0.115,0.042,-4.630,0.055,-5.929,0.039,15.950
259,43.223,29.869,3.437,14.800,1.625,3.043,2.578,5.621,matched,593484,273.107,-31.481,20.404,0.029,17.523,0.013,16.432,0.002,15.997,0.016,15.676,0.000,15.462,0.007,1.496,1.195,0.877,0.649,0.499,0.397,151597729,4048955181478205824,4048955181478205824,273.10676,0.057,-31.48108,0.047,0.003,0.062,-4.111,0.071,-7.834,0.052,16.379
260,73.474,60.121,5.634,10.000,0.617,1.986,1.692,3.678,matched,699727,273.319,-31.728,20.392,0.029,18.166,0.023,17.105,0.004,16.535,0.011,16.214,0.024,15.983,0.004,1.829,1.460,1.071,0.793,0.610,0.486,152423160,4048899583006553728,4048899583006553728,273.31909,0.137,-31.72834,0.120,0.236,0.158,-4.942,0.182,-6.815,0.128,17.045
261,-30.134,-43.488,4.068,15.000,1.169,2.656,2.063,4.718,matched,623521,273.168,-31.516,20.145,0.002,17.818,0.012,19.344,0.079,16.127,0.014,15.824,0.001,15.711,0.031,1.663,1.327,0.974,0.721,0.555,0.442,151835905,4048953974548881664,4048953974548881664,273.16846,0.056,-31.51556,0.047,0.153,0.058,-4.819,0.070,-6.766,0.051,16.708
262,-6.659,-20.013,3.804,10.500,1.529,3.303,2.901,6.205,matched,746579,273.414,-31.715,20.386,0.000,16.475,0.003,14.872,0.018,13.483,0.001,12.831,0.005,12.554,0.025,1.833,1.463,1.074,0.795,0.612,0.487,152783747,4048898316100578560,4048898316100578560,273.41371,0.022,-31.71551,0.017,0.092,0.025,-3.529,0.027,-7.495,0.019,14.179
263,-60.521,-73.875,3.449,20.200,1.149,3.169,2.536,5.705,matched,621940,273.165,-31.555,20.244,0.004,16.887,0.014,15.547,0.009,14.942,0.005,14.525,0.020,14.247,0.002,1.749,1.396,1.025,0.758,0.584,0.465,151822804,4048953768362722176,4048953768362722176,273.16484,0.031,-31.55484,0.026,0.040,0.034,-4.343,0.042,-5.945,0.028,15.388
265,23.364,10.010,5.138,13.500,0.791,1.222,1.708,2.929,no match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
