fiberid,RVraw,RV,e_RV,S/N,CaT1,CaT2,CaT3,SumEW23,BDBS_match,n6569_oid,radeg,decdeg,umag,uerr,gmag,gerr,rmag,rerr,imag,ierr,zmag,zerr,ymag,yerr,Au,Ag,Ar,Ai,Az,Ay,bdbs_id,gaia_id,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_mag
37,75.435,62.081,3.246,24.500,1.498,2.924,2.380,5.304,matched,468455,273.656,-31.933,20.362,0.000,17.437,0.003,16.200,0.006,15.677,0.001,15.338,0.006,15.149,0.013,1.714,1.368,1.004,0.743,0.572,0.455,148458537,4048879585640012160,4048879585640012160,273.65632,0.049,-31.93254,0.041,0.174,0.050,-4.824,0.056,-8.837,0.041,16.129
38,33.806,20.452,3.982,26.600,0.823,2.123,1.749,3.873,matched,433905,273.585,-31.934,19.776,0.004,17.659,0.012,16.606,0.026,16.018,0.036,15.740,0.002,15.573,0.015,1.884,1.504,1.103,0.817,0.628,0.500,148272212,4048879482600164480,4048879482600164480,273.58529,0.052,-31.93413,0.044,0.044,0.052,-4.814,0.063,-6.585,0.045,16.505
42,75.115,61.762,3.269,40.500,1.406,3.161,2.571,5.732,matched,543038,273.832,-32.145,19.488,0.001,16.607,0.003,15.486,0.006,14.895,0.005,14.579,0.022,14.353,0.003,1.058,0.845,0.620,0.459,0.353,0.281,148910993,4045859158472791168,4045859158472791168,273.83175,0.030,-32.14483,0.025,0.062,0.033,-3.895,0.038,-7.002,0.029,15.358
43,88.858,75.504,3.314,32.300,1.481,2.919,2.441,5.360,matched,524556,273.779,-32.085,20.141,0.001,17.253,0.000,16.045,0.032,15.490,0.000,15.128,0.001,14.887,0.000,1.448,1.156,0.848,0.628,0.483,0.385,148776408,4045872391336764160,4045872391336764160,273.77858,0.043,-32.08463,0.035,0.198,0.047,-3.236,0.053,-8.828,0.039,15.941
44,-11.314,-24.667,3.872,18.400,1.240,2.663,2.194,4.857,matched,450664,273.620,-31.925,20.886,0.021,18.403,0.019,17.285,0.014,16.740,0.013,16.401,0.000,16.196,0.015,1.741,1.390,1.020,0.755,0.581,0.462,148362154,4048879826197556864,4048879826197556864,273.61950,0.078,-31.92505,0.067,0.065,0.075,-3.852,0.094,-6.513,0.071,17.180
45,122.077,108.724,5.009,18.000,0.845,2.417,1.767,4.184,matched,441470,273.600,-31.925,20.582,0.005,18.227,0.026,17.152,0.012,16.638,0.011,16.310,0.001,16.171,0.001,1.795,1.433,1.052,0.778,0.599,0.477,148312254,4048879521320152448,4048879521320152448,273.60034,0.075,-31.92496,0.063,0.163,0.078,-3.799,0.088,-6.359,0.063,17.058
46,191.893,178.539,3.225,48.600,1.624,3.514,2.935,6.449,matched,488395,273.698,-32.104,19.590,0.014,16.251,0.001,17.710,0.073,13.709,0.001,13.274,0.000,16.224,0.099,1.221,0.975,0.715,0.529,0.407,0.324,148565004,4045870703345010048,4045870703345010048,273.69779,0.023,-32.10369,0.019,0.070,0.026,-4.236,0.029,-7.403,0.020,14.468
48,-62.789,-76.143,3.205,20.600,0.906,2.288,1.826,4.114,matched,373273,273.464,-31.970,20.163,0.000,18.040,0.012,17.028,0.002,16.471,0.028,16.219,0.010,16.029,0.009,1.799,1.436,1.054,0.780,0.600,0.478,147952362,4048878417407596416,4048878417407596416,273.46431,0.097,-31.97019,0.083,0.184,0.103,-3.360,0.117,-7.824,0.087,17.010
52,-35.116,-48.470,3.280,17.400,0.980,2.735,2.275,5.009,matched,372314,273.462,-31.952,20.705,0.004,18.391,0.000,17.283,0.029,16.686,0.002,16.307,0.009,16.153,0.002,1.873,1.495,1.097,0.812,0.625,0.497,147947362,4048881376635763840,4048881376635763840,273.46247,0.072,-31.95239,0.061,0.066,0.079,-4.106,0.091,-7.420,0.068,17.191
53,19.534,6.180,3.330,20.100,0.688,1.928,1.827,3.755,no match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,27.203,13.849,3.365,16.000,1.435,3.257,2.620,5.877,matched,544456,273.836,-32.171,19.508,0.006,16.967,0.001,16.073,0.006,15.667,0.003,15.418,0.000,15.244,0.002,0.990,0.790,0.580,0.429,0.330,0.263,148922961,4045858849235077504,4045858849235077504,273.83648,0.041,-32.17073,0.034,-0.038,0.044,-3.470,0.053,-6.557,0.038,15.995
56,6.858,-6.496,3.869,18.100,0.691,1.652,1.616,3.268,no match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
